Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,100 Thieves,Astralis,3,16,Train
Team1,100 Thieves,Cloud9,16,12,Vertigo
Team1,100 Thieves,Cloud9,16,13,Train
Team1,100 Thieves,Envy,16,12,Mirage
Team1,100 Thieves,Envy,17,19,Inferno
Team1,100 Thieves,Evil Geniuses,16,12,Dust2
Team1,100 Thieves,Evil Geniuses,16,4,Nuke
Team1,100 Thieves,FURIA,16,11,Inferno
Team1,100 Thieves,FURIA,16,5,Vertigo
Team1,100 Thieves,FURIA,4,16,Mirage
Team1,100 Thieves,FaZe,16,7,Mirage
Team1,100 Thieves,Gen.G,10,16,Dust2
Team1,100 Thieves,Isurus,16,9,Mirage
Team1,100 Thieves,Liquid,10,16,Vertigo
Team1,100 Thieves,Liquid,8,16,Mirage
Team1,100 Thieves,MIBR,14,16,Inferno
Team1,100 Thieves,Swole Patrol,16,5,Vertigo
Team1,100 Thieves,TYLOO,16,10,Vertigo
Team1,100 Thieves,eUnited,16,7,Mirage
Team1,100 Thieves,fnatic,5,16,Mirage
Team1,100 Thieves,mousesports,16,14,Nuke
Team2,100 Thieves,Evil Geniuses,11,16,Dust2
Team2,100 Thieves,Evil Geniuses,16,6,Nuke
Team2,100 Thieves,Evil Geniuses,16,7,Inferno
Team2,100 Thieves,FURIA,16,6,Vertigo
Team2,100 Thieves,G2,12,16,Vertigo
Team2,100 Thieves,G2,13,16,Dust2
Team2,100 Thieves,Gen.G,10,16,Mirage
Team2,100 Thieves,Isurus,16,5,Inferno
Team2,100 Thieves,MIBR,12,16,Train
Team2,100 Thieves,Swole Patrol,16,19,Train
Team2,100 Thieves,TYLOO,16,9,Inferno
Team2,100 Thieves,Vitality,16,2,Inferno
Team2,100 Thieves,eUnited,16,8,Dust2
Team2,100 Thieves,fnatic,13,16,Train
