Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,2990,Absolute,9,16,Mirage
Team1,2990,Alpha Red,9,16,Vertigo
Team1,2990,D13,16,11,Mirage
Team1,2990,D13,8,16,Mirage
Team1,2990,DWFN,16,6,Inferno
Team1,2990,EHOME,16,11,Inferno
Team1,2990,EHOME,8,16,Nuke
Team1,2990,Ignis,16,14,Inferno
Team1,2990,Ignis,31,29,Train
Team1,2990,SBC,16,12,Dust2
Team1,2990,Updraft,16,12,Inferno
Team2,2990,Absolute,14,16,Cache
Team2,2990,D13,10,16,Nuke
Team2,2990,DWFN,16,8,Overpass
Team2,2990,Mazaalai,11,16,Inferno
Team2,2990,Mazaalai,13,16,Nuke
Team2,2990,SBC,16,9,Inferno
Team2,2990,Updraft,19,22,Nuke
