Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,5orgless,BL4ZE,16,8,Train
Team1,5orgless,BTRG,1,16,Train
Team1,5orgless,BTRG,9,16,Nuke
Team1,5orgless,District 9,16,13,Dust2
Team1,5orgless,Global,16,12,Inferno
Team1,5orgless,Global,16,13,Dust2
Team1,5orgless,Global,9,16,Overpass
Team1,5orgless,pro100,16,11,Dust2
Team1,5orgless,rTE,2,16,Vertigo
Team2,5orgless,BL4ZE,16,6,Overpass
Team2,5orgless,Global,13,16,Overpass
Team2,5orgless,Wasted Potential,16,3,Dust2
Team2,5orgless,pro100,12,16,Overpass
