Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,AA,Big Frames,19,16,Mirage
Team1,AA,Chaos,6,16,Inferno
Team1,AA,District 7,14,16,Overpass
Team1,AA,District 7,16,12,Train
Team1,AA,ETHEREAL,16,9,Mirage
Team1,AA,Keep the Comms Up,14,16,Dust2
Team1,AA,Keep the Comms Up,16,13,Mirage
Team1,AA,Mythic,8,16,Mirage
Team1,AA,New England Whalers,16,11,Inferno
Team1,AA,New England Whalers,16,11,Inferno
Team1,AA,New England Whalers,16,11,Inferno
Team1,AA,New England Whalers,16,11,Inferno
Team1,AA,New England Whalers,16,11,Inferno
Team1,AA,New England Whalers,16,11,Inferno
Team1,AA,New England Whalers,16,11,Inferno
Team1,AA,New England Whalers,16,11,Inferno
Team1,AA,New England Whalers,16,11,Inferno
Team1,AA,New England Whalers,16,11,Inferno
Team1,AA,New England Whalers,16,11,Inferno
Team1,AA,New England Whalers,16,11,Inferno
Team1,AA,New England Whalers,16,3,Mirage
Team1,AA,New England Whalers,16,3,Mirage
Team1,AA,New England Whalers,16,3,Mirage
Team1,AA,New England Whalers,16,3,Mirage
Team1,AA,New England Whalers,16,3,Mirage
Team1,AA,New England Whalers,16,3,Mirage
Team1,AA,New England Whalers,16,3,Mirage
Team1,AA,New England Whalers,16,3,Mirage
Team1,AA,New England Whalers,16,3,Mirage
Team1,AA,New England Whalers,16,3,Mirage
Team1,AA,New England Whalers,16,3,Mirage
Team1,AA,New England Whalers,16,3,Mirage
Team1,AA,Rebel,16,12,Dust2
Team1,AA,Rebel,16,12,Mirage
Team1,AA,Station7,12,16,Mirage
Team1,AA,Station7,16,11,Overpass
Team1,AA,Thunder Logic,16,10,Dust2
Team1,AA,Thunder Logic,16,9,Mirage
Team1,AA,Thunder Logic,9,16,Overpass
Team1,AA,Trivium,13,16,Mirage
Team1,AA,Trivium,16,12,Dust2
Team1,AA,Trivium,9,16,Vertigo
Team1,AA,Way 2 French,19,15,Mirage
Team1,AA,Yeah,16,12,Train
Team1,AA,Yeah,19,15,Dust2
Team1,AA,Yeah,7,16,Mirage
Team1,AA,Yeah,8,16,Inferno
Team1,AA,Yeah,8,16,Overpass
Team2,AA,ETHEREAL,12,16,Overpass
Team2,AA,ETHEREAL,13,16,Dust2
Team2,AA,Keep the Comms Up,16,8,Mirage
Team2,AA,Thunder Logic,16,4,Overpass
Team2,AA,Warriors International,19,22,Mirage
