Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,AGO,3DMAX,13,16,Overpass
Team1,AGO,ALTERNATE aTTaX,3,16,Inferno
Team1,AGO,ARCY,12,16,Train
Team1,AGO,ARCY,16,13,Nuke
Team1,AGO,ARCY,16,14,Dust2
Team1,AGO,ARCY,9,16,Vertigo
Team1,AGO,AVANGAR,13,16,Dust2
Team1,AGO,AVANGAR,16,11,Inferno
Team1,AGO,AVANGAR,8,16,Train
Team1,AGO,CR4ZY,16,13,Nuke
Team1,AGO,Copenhagen Flames,16,14,Inferno
Team1,AGO,Copenhagen Flames,6,16,Overpass
Team1,AGO,Copenhagen Flames,6,16,Train
Team1,AGO,DreamEaters,16,13,Dust2
Team1,AGO,DreamEaters,17,19,Dust2
Team1,AGO,DreamEaters,22,18,Inferno
Team1,AGO,DreamEaters,8,16,Inferno
Team1,AGO,ENCE,5,16,Dust2
Team1,AGO,ENRAGE,16,10,Mirage
Team1,AGO,Endpoint,25,21,Train
Team1,AGO,Epsilon,16,13,Inferno
Team1,AGO,Epsilon,16,14,Cache
Team1,AGO,Epsilon,16,6,Train
Team1,AGO,Epsilon,8,16,Inferno
Team1,AGO,G2,10,16,Dust2
Team1,AGO,Gambit Youngsters,13,16,Vertigo
Team1,AGO,Gambit Youngsters,16,12,Train
Team1,AGO,Gambit Youngsters,16,5,Mirage
Team1,AGO,Gambit Youngsters,3,16,Vertigo
Team1,AGO,Gambit Youngsters,8,16,Dust2
Team1,AGO,GamerLegion,16,10,Overpass
Team1,AGO,GamerLegion,6,16,Mirage
Team1,AGO,HAVU,16,11,Nuke
Team1,AGO,HAVU,16,14,Inferno
Team1,AGO,HAVU,16,9,Train
Team1,AGO,HAVU,19,17,Vertigo
Team1,AGO,HAVU,4,16,Train
Team1,AGO,HAVU,8,16,Nuke
Team1,AGO,Hard Legion,16,10,Dust2
Team1,AGO,Hard Legion,16,10,Vertigo
Team1,AGO,Hard Legion,9,16,Mirage
Team1,AGO,HellRaisers,16,13,Mirage
Team1,AGO,HellRaisers,16,5,Train
Team1,AGO,Illuminar,16,12,Inferno
Team1,AGO,Illuminar,2,16,Nuke
Team1,AGO,Illuminar,6,16,Mirage
Team1,AGO,Illuminar,6,16,Train
Team1,AGO,Japaleno,16,9,Dust2
Team1,AGO,Juggernauts,16,11,Train
Team1,AGO,LDLC,16,6,Mirage
Team1,AGO,Movistar Riders,8,16,Inferno
Team1,AGO,Nemiga,16,10,Vertigo
Team1,AGO,Nemiga,16,11,Overpass
Team1,AGO,Nemiga,16,13,Inferno
Team1,AGO,Nemiga,6,16,Inferno
Team1,AGO,NeverPlay,16,10,Inferno
Team1,AGO,NeverPlay,16,2,Mirage
Team1,AGO,NeverPlay,8,16,Inferno
Team1,AGO,Nordavind,16,11,Inferno
Team1,AGO,Nordavind,5,16,Vertigo
Team1,AGO,PACT,13,16,Train
Team1,AGO,PACT,16,12,Vertigo
Team1,AGO,PACT,16,14,Inferno
Team1,AGO,PACT,16,9,Dust2
Team1,AGO,PACT,9,16,Nuke
Team1,AGO,Red Reserve,16,3,Overpass
Team1,AGO,SKADE,13,16,Inferno
Team1,AGO,SKADE,16,10,Nuke
Team1,AGO,SKADE,16,10,Nuke
Team1,AGO,SKADE,16,10,Train
Team1,AGO,SKADE,19,15,Dust2
Team1,AGO,SKADE,6,16,Train
Team1,AGO,SKADE,9,16,Mirage
Team1,AGO,SMASH,9,16,Mirage
Team1,AGO,Secret,14,16,Mirage
Team1,AGO,Secret,7,16,Nuke
Team1,AGO,Sharks,16,11,Dust2
Team1,AGO,Sharks,16,11,Inferno
Team1,AGO,Sharks,19,17,Train
Team1,AGO,Singularity,16,10,Train
Team1,AGO,Singularity,16,11,Nuke
Team1,AGO,Spirit,16,12,Mirage
Team1,AGO,Sprout,16,11,Cache
Team1,AGO,Sprout,2,16,Mirage
Team1,AGO,Sprout,8,16,Mirage
Team1,AGO,Sprout,8,16,Nuke
Team1,AGO,Tricked,10,16,Train
Team1,AGO,Tricked,11,16,Nuke
