Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,ALTERNATE aTTaX,3DMAX,10,16,Cache
Team1,ALTERNATE aTTaX,3DMAX,4,16,Inferno
Team1,ALTERNATE aTTaX,AGF,16,14,Inferno
Team1,ALTERNATE aTTaX,AGO,16,11,Cache
Team1,ALTERNATE aTTaX,AVANGAR,7,16,Mirage
Team1,ALTERNATE aTTaX,AVANGAR,8,16,Vertigo
Team1,ALTERNATE aTTaX,Ambush,16,14,Inferno
Team1,ALTERNATE aTTaX,Ambush,19,17,Train
Team1,ALTERNATE aTTaX,Ambush,19,17,Vertigo
Team1,ALTERNATE aTTaX,Ancient,5,16,Inferno
Team1,ALTERNATE aTTaX,Berzerk,16,0,Overpass
Team1,ALTERNATE aTTaX,Berzerk,16,7,Inferno
Team1,ALTERNATE aTTaX,Chaos,19,17,Inferno
Team1,ALTERNATE aTTaX,DETONA,19,17,Inferno
Team1,ALTERNATE aTTaX,Demolition Crew,16,12,Inferno
Team1,ALTERNATE aTTaX,Dragons,16,7,Inferno
Team1,ALTERNATE aTTaX,ENCE,7,16,Dust2
Team1,ALTERNATE aTTaX,Endpoint,16,13,Dust2
Team1,ALTERNATE aTTaX,Endpoint,16,13,Vertigo
Team1,ALTERNATE aTTaX,Endpoint,16,8,Overpass
Team1,ALTERNATE aTTaX,Epsilon,5,16,Inferno
Team1,ALTERNATE aTTaX,Epsilon,7,16,Overpass
Team1,ALTERNATE aTTaX,GamerLegion,7,16,Overpass
Team1,ALTERNATE aTTaX,GamerLegion,7,16,Train
Team1,ALTERNATE aTTaX,HAVU,11,16,Inferno
Team1,ALTERNATE aTTaX,HAVU,16,13,Inferno
Team1,ALTERNATE aTTaX,HAVU,16,5,Cache
Team1,ALTERNATE aTTaX,HAVU,22,20,Train
Team1,ALTERNATE aTTaX,HAVU,7,16,Mirage
Team1,ALTERNATE aTTaX,HAVU,9,16,Dust2
Team1,ALTERNATE aTTaX,Heretics,16,8,Vertigo
Team1,ALTERNATE aTTaX,Izako Boars,16,9,Overpass
Team1,ALTERNATE aTTaX,Izako Boars,19,17,Dust2
