Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,AVANGAR,Astralis,5,16,Dust2
Team1,AVANGAR,Astralis,6,16,Inferno
Team1,AVANGAR,Berzerk,16,12,Cache
Team1,AVANGAR,Berzerk,16,2,Dust2
Team1,AVANGAR,Bojestvata,16,1,Cache
Team1,AVANGAR,CR4ZY,16,14,Dust2
Team1,AVANGAR,CR4ZY,16,9,Train
Team1,AVANGAR,CR4ZY,8,16,Mirage
Team1,AVANGAR,Defusekids,16,11,Inferno
Team1,AVANGAR,Defusekids,19,15,Train
Team1,AVANGAR,Epsilon,16,10,Cache
Team1,AVANGAR,FURIA,9,16,Mirage
Team1,AVANGAR,Fierce,16,11,Inferno
Team1,AVANGAR,G2,2,16,Dust2
Team1,AVANGAR,G2,8,16,Cache
Team1,AVANGAR,Ghost,16,11,Dust2
Team1,AVANGAR,HAVU,12,16,Overpass
Team1,AVANGAR,HAVU,16,10,Train
Team1,AVANGAR,Heavy KnockOut,16,1,Dust2
Team1,AVANGAR,HellRaisers,16,10,Dust2
Team1,AVANGAR,HellRaisers,16,10,Inferno
Team1,AVANGAR,HellRaisers,16,11,Dust2
Team1,AVANGAR,HellRaisers,16,12,Train
Team1,AVANGAR,HellRaisers,22,19,Mirage
Team1,AVANGAR,Heroic,13,16,Dust2
Team1,AVANGAR,Heroic,4,16,Overpass
Team1,AVANGAR,Liquid,22,18,Overpass
Team1,AVANGAR,MIBR,15,19,Dust2
Team1,AVANGAR,NRG,16,13,Overpass
Team1,AVANGAR,NRG,4,16,Dust2
Team1,AVANGAR,NRG,8,16,Train
Team1,AVANGAR,Natus Vincere,16,12,Inferno
Team1,AVANGAR,Natus Vincere,19,17,Overpass
Team1,AVANGAR,Natus Vincere,8,16,Dust2
Team1,AVANGAR,Nemiga,16,10,Inferno
Team1,AVANGAR,Nemiga,16,11,Overpass
Team1,AVANGAR,Nemiga,16,11,Vertigo
Team1,AVANGAR,Nemiga,16,13,Dust2
Team1,AVANGAR,NiP,10,16,Inferno
Team1,AVANGAR,NiP,19,17,Train
Team1,AVANGAR,NiP,6,16,Overpass
Team1,AVANGAR,NoChance,16,11,Dust2
Team1,AVANGAR,NoChance,16,14,Cache
Team1,AVANGAR,NorBant,16,11,Dust2
Team1,AVANGAR,North,16,8,Mirage
Team1,AVANGAR,OpTic,16,10,Mirage
Team1,AVANGAR,Project Major,16,1,Train
Team1,AVANGAR,Renegades,16,6,Dust2
Team1,AVANGAR,Renegades,22,19,Mirage
Team1,AVANGAR,Syman,16,5,Dust2
Team1,AVANGAR,Tricked,14,16,Mirage
Team1,AVANGAR,Unicorns of Love,6,16,Overpass
Team1,AVANGAR,Valiance,10,16,Inferno
Team1,AVANGAR,Valiance,13,16,Dust2
Team1,AVANGAR,Valiance,16,12,Train
Team1,AVANGAR,Valiance,16,14,Inferno
Team1,AVANGAR,Valiance,3,16,Train
Team1,AVANGAR,Valiance,8,16,Mirage
Team1,AVANGAR,Vega Squadron,16,12,Overpass
Team1,AVANGAR,ViCi,16,10,Train
Team1,AVANGAR,ViCi,16,12,Mirage
Team1,AVANGAR,Virtus.pro,16,11,Dust2
Team1,AVANGAR,Virtus.pro,16,13,Vertigo
Team1,AVANGAR,Vitality,11,16,Inferno
Team1,AVANGAR,Vitality,16,9,Mirage
Team1,AVANGAR,Windigo,1,16,Inferno
Team1,AVANGAR,Windigo,6,16,Overpass
Team1,AVANGAR,Windigo,8,16,Dust2
Team1,AVANGAR,Winstrike,11,16,Dust2
Team1,AVANGAR,Winstrike,16,14,Train
Team1,AVANGAR,Winstrike,16,7,Mirage
Team1,AVANGAR,Winstrike,19,16,Dust2
Team1,AVANGAR,Winstrike,7,16,Train
Team1,AVANGAR,buaksib,16,13,Train
Team1,AVANGAR,buaksib,19,16,Dust2
