Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,AVANT,5POWER,13,16,Mirage
Team1,AVANT,5POWER,16,11,Overpass
Team1,AVANT,Airborne,16,12,Dust2
Team1,AVANT,Athletico,22,25,Inferno
Team1,AVANT,Athletico,9,16,Mirage
Team1,AVANT,Breakaway,10,16,Mirage
Team1,AVANT,Breakaway,7,16,Train
Team1,AVANT,Caladrius,16,1,Mirage
Team1,AVANT,Chiefs,13,16,Mirage
Team1,AVANT,Chiefs,16,10,Dust2
Team1,AVANT,Chiefs,16,10,Inferno
Team1,AVANT,Chiefs,16,12,Dust2
Team1,AVANT,Chiefs,16,12,Dust2
Team1,AVANT,Chiefs,16,12,Mirage
Team1,AVANT,Chiefs,16,12,Train
Team1,AVANT,Chiefs,16,13,Nuke
Team1,AVANT,Chiefs,16,7,Train
Team1,AVANT,Chiefs,7,16,Overpass
Team1,AVANT,Control,16,7,Train
Team1,AVANT,Control,6,16,Nuke
Team1,AVANT,Genuine,16,12,Train
Team1,AVANT,Genuine,16,13,Inferno
Team1,AVANT,Grayhound,0,16,Nuke
Team1,AVANT,Grayhound,9,16,Inferno
Team1,AVANT,Ground Zero,16,1,Inferno
Team1,AVANT,Ground Zero,16,1,Overpass
Team1,AVANT,Ground Zero,16,10,Inferno
Team1,AVANT,Ground Zero,16,11,Inferno
Team1,AVANT,Ground Zero,16,12,Nuke
Team1,AVANT,Ground Zero,16,13,Mirage
Team1,AVANT,Ground Zero,16,13,Nuke
Team1,AVANT,Ground Zero,16,14,Dust2
Team1,AVANT,Ground Zero,16,14,Inferno
Team1,AVANT,Ground Zero,16,14,Train
Team1,AVANT,Ground Zero,16,9,Overpass
Team1,AVANT,Ground Zero,16,9,Overpass
Team1,AVANT,Ground Zero,19,15,Train
Team1,AVANT,Jade,16,5,Overpass
Team1,AVANT,MC,16,14,Dust2
Team1,AVANT,ORDER,10,16,Dust2
Team1,AVANT,ORDER,10,16,Inferno
Team1,AVANT,ORDER,16,1,Nuke
Team1,AVANT,ORDER,16,10,Mirage
Team1,AVANT,ORDER,16,11,Nuke
Team1,AVANT,ORDER,16,12,Train
Team1,AVANT,ORDER,16,6,Nuke
Team1,AVANT,ORDER,16,8,Train
Team1,AVANT,ORDER,19,15,Inferno
Team1,AVANT,Paradox,16,12,Mirage
Team1,AVANT,R!OT,16,11,Mirage
Team1,AVANT,R!OT,16,13,Mirage
Team1,AVANT,R!OT,16,8,Train
Team1,AVANT,Renegades,6,16,Nuke
Team1,AVANT,Skyfire,16,13,Mirage
Team1,AVANT,Skyfire,16,13,Mirage
Team1,AVANT,Skyfire,16,13,Mirage
Team1,AVANT,Skyfire,16,13,Mirage
Team1,AVANT,Skyfire,16,13,Mirage
Team1,AVANT,Skyfire,16,13,Mirage
Team1,AVANT,Skyfire,16,13,Mirage
Team1,AVANT,Skyfire,16,13,Mirage
Team1,AVANT,Skyfire,16,13,Mirage
Team1,AVANT,Skyfire,16,13,Mirage
Team1,AVANT,Skyfire,16,13,Mirage
Team1,AVANT,Skyfire,16,13,Mirage
Team1,AVANT,Tainted Minds,16,12,Inferno
Team1,AVANT,catman,16,13,Inferno
Team1,AVANT,catman,16,4,Overpass
Team1,AVANT,ex-Genuine,16,8,Dust2
Team1,AVANT,ex-Genuine,8,16,Train
Team1,AVANT,ex-Paradox,19,16,Overpass
Team1,AVANT,madlikewizards,16,14,Overpass
Team1,AVANT,madlikewizards,16,6,Dust2
Team2,AVANT,5POWER,16,9,Dust2
Team2,AVANT,Airborne,14,16,Inferno
Team2,AVANT,Airborne,16,3,Dust2
Team2,AVANT,Airborne,16,4,Inferno
Team2,AVANT,Airborne,16,7,Mirage
Team2,AVANT,Athletico,16,2,Overpass
