Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,AVEZ,AGO,14,16,Mirage
Team1,AVEZ,Apeks,13,16,Overpass
Team1,AVEZ,Apeks,16,13,Nuke
Team1,AVEZ,BIG,16,12,Dust2
Team1,AVEZ,BIG,16,7,Nuke
Team1,AVEZ,Budapest Five,8,16,Mirage
Team1,AVEZ,Dignitas,9,16,Nuke
Team1,AVEZ,GODSENT,8,16,Train
Team1,AVEZ,Gambit Youngsters,3,16,Dust2
Team1,AVEZ,Giants,16,1,Train
Team1,AVEZ,HAVU,16,10,Train
Team1,AVEZ,HellRaisers,16,10,Overpass
Team1,AVEZ,HellRaisers,17,19,Vertigo
Team1,AVEZ,Heretics,16,11,Inferno
Team1,AVEZ,Lyngby Vikings,16,10,Train
Team1,AVEZ,Movistar Riders,16,13,Nuke
Team1,AVEZ,Mustang Crew,16,10,Overpass
Team1,AVEZ,Mustang Crew,19,17,Train
Team1,AVEZ,SKADE,6,16,Mirage
Team1,AVEZ,SKADE,8,16,Inferno
Team1,AVEZ,Salamander,16,8,Nuke
Team1,AVEZ,Secret,16,11,Nuke
Team1,AVEZ,Spirit,5,16,Nuke
Team1,AVEZ,Sprout,4,16,Train
Team1,AVEZ,The Final Tribe,16,13,Mirage
Team1,AVEZ,The Final Tribe,16,13,Train
Team1,AVEZ,Tricked,3,16,Train
Team1,AVEZ,Unique,22,18,Train
Team1,AVEZ,Warriors,16,14,Train
Team1,AVEZ,Windigo Academy,16,10,Train
Team1,AVEZ,Winstrike,16,13,Vertigo
Team1,AVEZ,Wisla Krakow,16,11,Train
Team1,AVEZ,Wisla Krakow,16,11,Train
Team1,AVEZ,Wisla Krakow,7,16,Inferno
Team1,AVEZ,adwokacik,10,16,Mirage
Team1,AVEZ,adwokacik,16,10,Train
Team1,AVEZ,ex-Epsilon,13,16,Mirage
Team1,AVEZ,sAw,16,13,Inferno
Team1,AVEZ,sAw,16,7,Overpass
Team1,AVEZ,sAw,9,16,Dust2
Team2,AVEZ,AGO,11,16,Dust2
Team2,AVEZ,ALTERNATE aTTaX,22,25,Train
Team2,AVEZ,BIG,11,16,Inferno
Team2,AVEZ,BIG,14,16,Vertigo
Team2,AVEZ,BIG,16,19,Vertigo
Team2,AVEZ,DETONA,13,16,Mirage
Team2,AVEZ,Gambit Youngsters,14,16,Overpass
Team2,AVEZ,Giants,16,5,Nuke
Team2,AVEZ,HAVU,16,6,Vertigo
Team2,AVEZ,Heretics,16,8,Mirage
Team2,AVEZ,Lyngby Vikings,10,16,Dust2
Team2,AVEZ,Movistar Riders,16,8,Nuke
Team2,AVEZ,OG,12,16,Overpass
Team2,AVEZ,Pompa,14,16,Nuke
Team2,AVEZ,SKADE,16,9,Nuke
Team2,AVEZ,SKADE,16,9,Train
Team2,AVEZ,Salamander,14,16,Train
Team2,AVEZ,Secret,10,16,Train
Team2,AVEZ,Secret,16,3,Overpass
Team2,AVEZ,Secret,16,6,Nuke
Team2,AVEZ,Sprout,12,16,Dust2
Team2,AVEZ,Sprout,13,16,Mirage
Team2,AVEZ,The Final Tribe,11,16,Dust2
Team2,AVEZ,Warriors,16,8,Mirage
Team2,AVEZ,adwokacik,11,16,Train
Team2,AVEZ,ex-Epsilon,14,16,Train
Team2,AVEZ,sAw,16,6,Mirage
