Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Absolute,Alpha Red,2,16,Overpass
Team1,Absolute,Alpha Red,3,16,Inferno
Team1,Absolute,BOOM,14,16,Mirage
Team1,Absolute,BOOM,16,9,Mirage
Team1,Absolute,BOOM,19,17,Inferno
Team1,Absolute,D13,16,6,Mirage
Team1,Absolute,Grayhound,14,16,Mirage
Team1,Absolute,Ignis,16,14,Overpass
Team1,Absolute,MVP PK,16,14,Inferno
Team1,Absolute,MVP PK,6,16,Dust2
Team1,Absolute,Recca,13,16,Mirage
Team1,Absolute,Recca,5,16,Inferno
Team1,Absolute,Se7en,10,16,Dust2
Team1,Absolute,Se7en,16,10,Inferno
Team1,Absolute,Storm Rider,16,13,Mirage
Team1,Absolute,Storm Rider,8,16,Dust2
Team1,Absolute,Syntax,16,1,Dust2
Team1,Absolute,Updraft,16,11,Overpass
Team1,Absolute,Updraft,16,14,Train
Team1,Absolute,Updraft,16,7,Vertigo
Team2,Absolute,BOOM,10,16,Inferno
Team2,Absolute,D13,16,4,Nuke
Team2,Absolute,Grayhound,11,16,Inferno
Team2,Absolute,Ignis,16,8,Train
Team2,Absolute,Storm Rider,25,28,Inferno
Team2,Absolute,Syntax,16,7,Mirage
Team2,Absolute,Updraft,16,3,Dust2
Team2,Absolute,ikarus,16,2,Mirage
Team2,Absolute,ikarus,16,6,Vertigo
