Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Akopalipsa,Copenhagen Flames,12,16,Nuke
Team1,Akopalipsa,Giants,16,12,Inferno
Team1,Akopalipsa,Giants,19,16,Inferno
Team1,Akopalipsa,Giants,6,16,Dust2
Team1,Akopalipsa,Giants,7,16,Dust2
Team1,Akopalipsa,GoldenGitte,4,16,Inferno
Team1,Akopalipsa,Movistar Riders,5,16,Mirage
Team1,Akopalipsa,OFFSET,16,13,Dust2
Team1,Akopalipsa,devils.one,8,16,Train
Team1,Akopalipsa,volgare,16,11,Train
Team2,Akopalipsa,GoldenGitte,16,4,Train
Team2,Akopalipsa,GoldenGitte,16,8,Mirage
Team2,Akopalipsa,Heavy KnockOut,16,19,Inferno
Team2,Akopalipsa,Movistar Riders,16,19,Inferno
Team2,Akopalipsa,OFFSET,16,3,Nuke
Team2,Akopalipsa,PACT,14,16,Dust2
Team2,Akopalipsa,SJ,14,16,Inferno
Team2,Akopalipsa,forZe,12,16,Inferno
