Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Alma,DELIRAWOWZIK,4,16,Mirage
Team1,Alma,DELIRAWOWZIK,7,16,Inferno
Team1,Alma,DETONA,13,16,Inferno
Team1,Alma,DETONA,16,6,Inferno
Team1,Alma,DETONA,9,16,Vertigo
Team1,Alma,FURIA Inagame,16,12,Dust2
Team1,Alma,FURIA Inagame,16,8,Inferno
Team1,Alma,FURIA Inagame,9,16,Train
Team1,Alma,Falkol,16,13,Dust2
Team1,Alma,Falkol,16,14,Mirage
Team1,Alma,Falkol,6,16,Mirage
Team1,Alma,Isurus,5,16,Train
Team1,Alma,Keyd,8,16,Inferno
Team1,Alma,Rysix,14,16,Mirage
Team1,Alma,Santos,16,7,Vertigo
Team1,Alma,Soberano,16,13,Inferno
Team1,Alma,W7M,10,16,Vertigo
Team1,Alma,W7M,5,16,Inferno
Team1,Alma,W7M,7,16,Dust2
Team2,Alma,Dynasty,16,4,Overpass
Team2,Alma,Dynasty,16,5,Inferno
Team2,Alma,Isurus,12,16,Overpass
Team2,Alma,Keyd,10,16,Overpass
Team2,Alma,Rysix,16,5,Train
Team2,Alma,Santos,19,22,Dust2
Team2,Alma,Soberano,17,19,Dust2
Team2,Alma,W7M,14,16,Mirage
