Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Alpha Red,2Be Continued,16,13,Dust2
Team1,Alpha Red,2Be Continued,16,5,Mirage
Team1,Alpha Red,5POWER,4,16,Inferno
Team1,Alpha Red,5POWER,6,16,Mirage
Team1,Alpha Red,5POWER,7,16,Overpass
Team1,Alpha Red,AOES,12,16,Train
Team1,Alpha Red,AUGUST,9,16,Mirage
Team1,Alpha Red,Altima,16,9,Inferno
Team1,Alpha Red,Armory,16,8,Inferno
Team1,Alpha Red,BOOM,16,14,Mirage
Team1,Alpha Red,BOOT,16,11,Inferno
Team1,Alpha Red,BOOT,16,14,Mirage
Team1,Alpha Red,BOOT,16,5,Mirage
Team1,Alpha Red,BOOT,6,16,Mirage
Team1,Alpha Red,BOOT,7,16,Vertigo
Team1,Alpha Red,BOOT-d S ,16,14,Train
Team1,Alpha Red,BTRG,16,11,Dust2
Team1,Alpha Red,BTRG,16,11,Inferno
Team1,Alpha Red,BTRG,16,12,Overpass
Team1,Alpha Red,BTRG,8,16,Mirage
Team1,Alpha Red,Bren,16,12,Mirage
Team1,Alpha Red,Bren,16,9,Dust2
Team1,Alpha Red,Bren,9,16,Inferno
Team1,Alpha Red,EHOME,16,13,Nuke
Team1,Alpha Red,EHOME,16,5,Mirage
Team1,Alpha Red,Grayhound,16,13,Inferno
Team1,Alpha Red,Grayhound,3,16,Dust2
Team1,Alpha Red,Invictus,12,16,Overpass
Team1,Alpha Red,Invictus,7,16,Train
Team1,Alpha Red,LaZe,16,13,Inferno
Team1,Alpha Red,Legend,16,0,Train
Team1,Alpha Red,Legend,16,4,Dust2
Team1,Alpha Red,Let's Quit,16,12,Inferno
Team1,Alpha Red,Let's Quit,16,2,Train
Team1,Alpha Red,Lucid Dream,11,16,Dust2
Team1,Alpha Red,Lucid Dream,14,16,Mirage
Team1,Alpha Red,Lucid Dream,16,10,Inferno
Team1,Alpha Red,Lucid Dream,16,14,Dust2
Team1,Alpha Red,Lucid Dream,16,14,Mirage
Team1,Alpha Red,Lucid Dream,16,4,Mirage
Team1,Alpha Red,Lucid Dream,6,16,Dust2
Team1,Alpha Red,MVP PK,16,10,Train
Team1,Alpha Red,MVP PK,16,13,Vertigo
Team1,Alpha Red,MVP PK,16,19,Mirage
Team1,Alpha Red,MVP PK,7,16,Inferno
Team1,Alpha Red,MVP PK,8,16,Mirage
Team1,Alpha Red,MVP PK,9,16,Train
Team1,Alpha Red,Maple,9,16,Mirage
Team1,Alpha Red,MiTH.Maple,16,10,Overpass
Team1,Alpha Red,MiTH.Maple,16,6,Dust2
Team1,Alpha Red,OneThree,14,16,Inferno
Team1,Alpha Red,OneThree,16,11,Dust2
Team1,Alpha Red,OneThree,16,13,Inferno
Team1,Alpha Red,OpTic,7,16,Mirage
Team1,Alpha Red,OpTic,8,16,Inferno
Team1,Alpha Red,RRQ,16,12,Nuke
Team1,Alpha Red,SHIFT,16,1,Vertigo
Team1,Alpha Red,Signify,19,17,Train
Team1,Alpha Red,TNC,19,22,Mirage
Team1,Alpha Red,TYLOO,9,16,Train
Team1,Alpha Red,UnkerJohn,16,14,Dust2
Team1,Alpha Red,UnkerJohn,16,9,Nuke
Team1,Alpha Red,Viva Algeria,16,1,Overpass
Team1,Alpha Red,ikarus,16,7,Overpass
Team2,Alpha Red,AOES,16,6,Inferno
Team2,Alpha Red,Altima,16,4,Overpass
Team2,Alpha Red,Armory,16,6,Mirage
Team2,Alpha Red,BOOM,16,6,Mirage
Team2,Alpha Red,BOOM,16,8,Train
Team2,Alpha Red,BOOT,13,16,Inferno
Team2,Alpha Red,BTRG,16,9,Mirage
Team2,Alpha Red,Bren,14,16,Inferno
Team2,Alpha Red,Chiefs,10,16,Train
Team2,Alpha Red,Chiefs,16,7,Mirage
Team2,Alpha Red,LaZe,16,7,Mirage
Team2,Alpha Red,Lucid Dream,12,16,Train
Team2,Alpha Red,Lucid Dream,13,16,Inferno
Team2,Alpha Red,MVP PK,1,16,Dust2
Team2,Alpha Red,Maple,26,28,Overpass
Team2,Alpha Red,Mazaalai,18,22,Dust2
Team2,Alpha Red,OneThree,10,16,Mirage
Team2,Alpha Red,RRQ,16,4,Mirage
Team2,Alpha Red,TNC,16,9,Inferno
Team2,Alpha Red,ViCi,10,16,Mirage
Team2,Alpha Red,Viva Algeria,16,8,Inferno
Team2,Alpha Red,Xavier,16,6,Overpass
Team2,Alpha Red,Xavier,16,7,Dust2
Team2,Alpha Red,ikarus,16,7,Inferno
