Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Ambush,AGF,16,14,Train
Team1,Ambush,AGF,16,7,Overpass
Team1,Ambush,ALTERNATE aTTaX,16,1,Train
Team1,Ambush,ALTERNATE aTTaX,16,13,Overpass
Team1,Ambush,ALTERNATE aTTaX,5,16,Inferno
Team1,Ambush,ALTERNATE aTTaX,9,16,Vertigo
Team1,Ambush,Apeks,16,10,Overpass
Team1,Ambush,Apeks,16,12,Vertigo
Team1,Ambush,Aristocracy,19,16,Mirage
Team1,Ambush,Brute,9,16,Mirage
Team1,Ambush,Chetz,16,9,Overpass
Team1,Ambush,Copenhagen Flames,10,16,Mirage
Team1,Ambush,DreamEaters,3,16,Overpass
Team1,Ambush,EloPerMinute,16,10,Overpass
Team1,Ambush,FATE,16,14,Vertigo
Team1,Ambush,FATE,2,16,Train
Team1,Ambush,FATE,4,16,Inferno
Team1,Ambush,FATE,9,16,Train
Team1,Ambush,Fierce,25,21,Train
Team1,Ambush,GamerLegion,16,13,Overpass
Team1,Ambush,GamerLegion,5,16,Nuke
Team1,Ambush,Lyngby Vikings,16,14,Nuke
Team1,Ambush,Lyngby Vikings,16,9,Mirage
Team1,Ambush,PACT,16,14,Mirage
Team1,Ambush,PACT,4,16,Inferno
Team1,Ambush,Phoenix,6,16,Train
Team1,Ambush,Pompa,16,10,Inferno
Team1,Ambush,Pompa,16,10,Nuke
Team1,Ambush,Reason,16,11,Inferno
Team1,Ambush,Reason,16,14,Train
Team1,Ambush,Rocketlauncher$,16,8,Dust2
Team1,Ambush,SJ,9,16,Mirage
Team1,Ambush,SKADE,16,12,Train
Team1,Ambush,SKADE,16,14,Train
Team1,Ambush,SKADE,7,16,Nuke
Team1,Ambush,SKADE,9,16,Inferno
Team1,Ambush,SKADE,9,16,Overpass
Team1,Ambush,STEP,16,10,Vertigo
Team1,Ambush,Tricked,6,16,Train
Team1,Ambush,Tricked,7,16,Inferno
Team1,Ambush,Unique,9,16,Inferno
Team1,Ambush,Wisla Krakow,9,16,Inferno
Team1,Ambush,Youngsters,16,10,Mirage
Team1,Ambush,Youngsters,16,13,Overpass
Team1,Ambush,cats,13,16,Overpass
Team1,Ambush,cats,8,16,Mirage
Team1,Ambush,forZe,13,16,Nuke
Team1,Ambush,forZe,16,10,Inferno
Team1,Ambush,forZe,3,16,Train
Team1,Ambush,kinetic,16,6,Dust2
Team1,Ambush,maquinas,11,16,Vertigo
Team1,Ambush,sAw,16,7,Train
Team1,Ambush,sAw,9,16,Vertigo
Team2,Ambush,AGF,11,16,Dust2
Team2,Ambush,AGF,17,19,Train
Team2,Ambush,Chetz,1,16,Mirage
Team2,Ambush,Copenhagen Flames,12,16,Train
Team2,Ambush,Espada,13,16,Train
Team2,Ambush,Espada,14,16,Mirage
Team2,Ambush,FATE,13,16,Dust2
Team2,Ambush,FATE,16,7,Inferno
Team2,Ambush,FATE,16,7,Overpass
Team2,Ambush,Fierce,11,16,Mirage
Team2,Ambush,GamerLegion,16,9,Overpass
Team2,Ambush,Izako Boars,10,16,Train
Team2,Ambush,Izako Boars,11,16,Inferno
Team2,Ambush,Izako Boars,16,8,Overpass
Team2,Ambush,PACT,16,9,Inferno
Team2,Ambush,SKADE,10,16,Dust2
Team2,Ambush,SKADE,17,19,Overpass
Team2,Ambush,Salamander,11,16,Nuke
Team2,Ambush,Salamander,16,19,Nuke
Team2,Ambush,Wisla Krakow,13,16,Mirage
Team2,Ambush,ex-Fragsters,12,16,Inferno
Team2,Ambush,forZe,1,16,Inferno
Team2,Ambush,forZe,14,16,Mirage
Team2,Ambush,forZe,14,16,Overpass
Team2,Ambush,kinetic,13,16,Overpass
Team2,Ambush,maquinas,14,16,Mirage
