Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Ancient,ALTERNATE aTTaX,16,13,Train
Team1,Ancient,Aristocracy,16,11,Nuke
Team1,Ancient,CR4ZY,22,20,Inferno
Team1,Ancient,CR4ZY,6,16,Train
Team1,Ancient,Chaos,4,16,Overpass
Team1,Ancient,Endpoint,16,12,Overpass
Team1,Ancient,Endpoint,19,17,Mirage
Team1,Ancient,GamerLegion,16,0,Nuke
Team1,Ancient,GamerLegion,16,10,Inferno
Team1,Ancient,GamerLegion,4,16,Dust2
Team1,Ancient,GamerLegion,7,16,Inferno
Team1,Ancient,Giants,11,16,Nuke
Team1,Ancient,HAVU,16,14,Overpass
Team1,Ancient,HAVU,4,16,Train
Team1,Ancient,Illuminar,12,16,Train
Team1,Ancient,Illuminar,19,17,Overpass
Team1,Ancient,Movistar Riders,16,11,Overpass
Team1,Ancient,Movistar Riders,9,16,Train
Team1,Ancient,NoChance,16,10,Mirage
Team1,Ancient,Nordavind,10,16,Mirage
Team1,Ancient,PACT,9,16,Mirage
Team1,Ancient,SMASH,16,12,Dust2
Team1,Ancient,SMASH,16,13,Overpass
Team1,Ancient,Vexed,16,13,Inferno
Team1,Ancient,Vexed,16,9,Overpass
Team1,Ancient,Virtus.pro,16,11,Mirage
Team1,Ancient,Windigo,19,17,Overpass
Team1,Ancient,eXtatus,9,16,Mirage
Team1,Ancient,ex-Fragsters,16,4,Mirage
Team1,Ancient,forZe,16,11,Overpass
Team1,Ancient,x-kom,16,11,Overpass
Team2,Ancient,AGO,16,9,Dust2
Team2,Ancient,ALTERNATE aTTaX,13,16,Dust2
Team2,Ancient,ALTERNATE aTTaX,16,6,Overpass
Team2,Ancient,BIG,17,19,Dust2
Team2,Ancient,FrenchFrogs,16,19,Inferno
Team2,Ancient,FrenchFrogs,16,7,Inferno
Team2,Ancient,Giants,16,9,Overpass
Team2,Ancient,Illuminar,11,16,Mirage
Team2,Ancient,Man of the Year,16,9,Nuke
Team2,Ancient,Marskalk,13,16,Overpass
Team2,Ancient,Nordavind,16,8,Overpass
Team2,Ancient,North,14,16,Nuke
Team2,Ancient,North,14,16,Overpass
Team2,Ancient,PACT,16,7,Inferno
Team2,Ancient,SJ,16,9,Nuke
Team2,Ancient,Tricked,20,22,Nuke
Team2,Ancient,Virtus.pro,11,16,Inferno
Team2,Ancient,Windigo,16,7,Dust2
Team2,Ancient,ex-Fragsters,11,16,Nuke
Team2,Ancient,ex-Fragsters,16,2,Train
Team2,Ancient,forZe,10,16,Nuke
Team2,Ancient,pro100,16,2,Train
Team2,Ancient,pro100,16,6,Nuke
Team2,Ancient,x-kom,11,16,Nuke
Team2,Ancient,x-kom,13,16,Mirage
Team2,Ancient,x-kom,16,6,Nuke
