Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Apeks,AGF,16,10,Train
Team1,Apeks,AGF,7,16,Nuke
Team1,Apeks,AVEZ,16,10,Dust2
Team1,Apeks,AVEZ,16,13,Inferno
Team1,Apeks,AVEZ,22,18,Overpass
Team1,Apeks,Dignitas,8,16,Nuke
Team1,Apeks,FATE,9,16,Overpass
Team1,Apeks,GAMERZONE,16,14,Train
Team1,Apeks,GODSENT,16,11,Nuke
Team1,Apeks,GamerLegion,16,12,Mirage
Team1,Apeks,NiP,14,16,Vertigo
Team1,Apeks,No Problem!,16,12,Mirage
Team1,Apeks,No Problem!,19,16,Train
Team1,Apeks,Nordavind,19,15,Nuke
Team1,Apeks,Nordavind,8,16,Vertigo
Team1,Apeks,Nordavind NO,16,12,Nuke
Team1,Apeks,One More Time,3,16,Dust2
Team1,Apeks,Pompa,22,19,Overpass
Team1,Apeks,Reason,16,14,Nuke
Team1,Apeks,Reason,22,19,Mirage
Team1,Apeks,Riddle,16,10,Dust2
Team1,Apeks,SMASH,19,16,Mirage
Team1,Apeks,Salamander,16,10,Mirage
Team1,Apeks,Salamander,16,10,Overpass
Team1,Apeks,Stabæk Momentum,16,2,Overpass
Team1,Apeks,Tenerife Titans,2,16,Mirage
Team1,Apeks,TheDice,16,7,Overpass
Team1,Apeks,Turkey5,16,14,Overpass
Team1,Apeks,Virtus.pro,16,12,Mirage
Team1,Apeks,Virtus.pro,16,14,Vertigo
Team1,Apeks,Virtus.pro,8,16,Inferno
Team2,Apeks,Ambush,16,2,Nuke
Team2,Apeks,Ambush,16,8,Dust2
Team2,Apeks,Endpoint,11,16,Dust2
Team2,Apeks,Movistar Riders,13,16,Nuke
Team2,Apeks,Movistar Riders,17,19,Nuke
Team2,Apeks,Nordavind,13,16,Mirage
Team2,Apeks,Nordavind,16,9,Mirage
Team2,Apeks,Nordavind NO,16,2,Vertigo
Team2,Apeks,OneWay,16,6,Mirage
Team2,Apeks,Pompa,16,19,Vertigo
Team2,Apeks,Prima,14,16,Dust2
Team2,Apeks,Riddle,16,8,Nuke
Team2,Apeks,Salamander,25,28,Nuke
Team2,Apeks,Secret,17,19,Mirage
Team2,Apeks,Stabæk Momentum,16,4,Nuke
Team2,Apeks,TheDice,14,16,Dust2
Team2,Apeks,Tricked,16,7,Inferno
Team2,Apeks,Tricked,16,8,Vertigo
Team2,Apeks,Turkey5,15,19,Inferno
Team2,Apeks,Virtus.pro,19,22,Vertigo
