Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Aster,EHOME,7,16,Overpass
Team1,Aster,Lynn Vision,11,16,Inferno
Team1,Aster,Lynn Vision,16,9,Inferno
Team1,Aster,Lynn Vision,2,16,Nuke
Team1,Aster,Lynn Vision,6,16,Dust2
Team1,Aster,Lynn Vision,7,16,Nuke
Team1,Aster,Lynn Vision,7,16,Vertigo
Team1,Aster,OneThree,16,13,Overpass
Team1,Aster,OneThree,7,16,Dust2
Team1,Aster,Storm Rider,3,16,Mirage
Team1,Aster,Storm Rider,6,16,Dust2
Team1,Aster,TYLOO,2,16,Vertigo
Team1,Aster,Thirteen,16,11,Dust2
Team1,Aster,ToyStory,19,15,Inferno
Team1,Aster,Wubbalubbadubdub,10,16,Mirage
Team1,Aster,Wubbalubbadubdub,4,16,Dust2
Team2,Aster,EHOME,11,16,Inferno
Team2,Aster,IPET,10,16,Mirage
Team2,Aster,Ignis,13,16,Inferno
Team2,Aster,Lynn Vision,1,16,Dust2
Team2,Aster,Lynn Vision,14,16,Cache
Team2,Aster,Lynn Vision,16,6,Dust2
Team2,Aster,MVP PK,13,16,Inferno
Team2,Aster,TYLOO,10,16,Mirage
Team2,Aster,Thirteen,16,6,Vertigo
Team2,Aster,ToyStory,16,8,Dust2
Team2,Aster,Wubbalubbadubdub,16,6,Inferno
