Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Astralis,100 Thieves,16,10,Inferno
Team1,Astralis,100 Thieves,16,14,Vertigo
Team1,Astralis,100 Thieves,16,5,Nuke
Team1,Astralis,100 Thieves,16,9,Nuke
Team1,Astralis,AVANGAR,16,13,Inferno
Team1,Astralis,AVANGAR,16,14,Overpass
Team1,Astralis,Aristocracy,16,12,Nuke
Team1,Astralis,BIG,16,10,Dust2
Team1,Astralis,BIG,16,14,Train
Team1,Astralis,BIG,17,19,Inferno
Team1,Astralis,Cloud9,16,0,Train
Team1,Astralis,Cloud9,16,10,Inferno
Team1,Astralis,Cloud9,16,12,Train
Team1,Astralis,Complexity,13,16,Nuke
Team1,Astralis,Dignitas,16,5,Dust2
Team1,Astralis,Dignitas,19,17,Train
Team1,Astralis,ENCE,12,16,Nuke
Team1,Astralis,ENCE,14,16,Inferno
Team1,Astralis,ENCE,16,11,Train
Team1,Astralis,ENCE,16,13,Dust2
Team1,Astralis,ENCE,16,4,Inferno
Team1,Astralis,ENCE,19,17,Train
Team1,Astralis,Evil Geniuses,12,16,Inferno
Team1,Astralis,Evil Geniuses,16,6,Overpass
Team1,Astralis,Evil Geniuses,22,20,Train
Team1,Astralis,FURIA,16,12,Inferno
Team1,Astralis,FaZe,16,0,Dust2
Team1,Astralis,FaZe,16,13,Dust2
Team1,Astralis,FaZe,16,2,Nuke
Team1,Astralis,FaZe,16,4,Overpass
Team1,Astralis,FaZe,16,8,Dust2
Team1,Astralis,FaZe,19,17,Nuke
Team1,Astralis,FaZe,5,16,Dust2
Team1,Astralis,G2,16,13,Vertigo
Team1,Astralis,G2,16,7,Overpass
Team1,Astralis,G2,19,15,Inferno
Team1,Astralis,GODSENT,16,7,Inferno
Team1,Astralis,Ghost,16,14,Inferno
Team1,Astralis,HellRaisers,16,7,Inferno
Team1,Astralis,Heroic,16,14,Inferno
Team1,Astralis,Heroic,16,7,Inferno
Team1,Astralis,Heroic,19,16,Train
Team1,Astralis,LDLC,16,4,Nuke
Team1,Astralis,Liquid,16,10,Nuke
Team1,Astralis,Liquid,16,11,Inferno
Team1,Astralis,Liquid,16,12,Nuke
Team1,Astralis,Liquid,16,12,Overpass
Team1,Astralis,Liquid,16,13,Dust2
Team1,Astralis,Liquid,16,13,Overpass
Team1,Astralis,Liquid,16,7,Nuke
Team1,Astralis,Liquid,16,8,Inferno
Team1,Astralis,Liquid,6,16,Inferno
Team1,Astralis,MIBR,16,10,Overpass
Team1,Astralis,MIBR,16,14,Overpass
Team1,Astralis,MIBR,16,7,Inferno
Team1,Astralis,NRG,16,10,Train
Team1,Astralis,NRG,16,8,Nuke
Team1,Astralis,NRG,16,9,Overpass
Team1,Astralis,NRG,4,16,Nuke
Team1,Astralis,Natus Vincere,5,16,Dust2
Team1,Astralis,Natus Vincere,5,16,Nuke
Team1,Astralis,Natus Vincere,8,16,Train
Team1,Astralis,Natus Vincere,9,16,Nuke
Team1,Astralis,NiP,16,11,Train
Team1,Astralis,NiP,16,12,Dust2
Team1,Astralis,NiP,16,14,Dust2
Team1,Astralis,NiP,16,6,Overpass
Team1,Astralis,NiP,16,8,Inferno
Team1,Astralis,NiP,16,8,Nuke
Team1,Astralis,NiP,19,16,Dust2
Team1,Astralis,NiP,6,16,Vertigo
Team1,Astralis,NiP,8,16,Overpass
Team1,Astralis,North,16,8,Inferno
Team1,Astralis,North,19,17,Train
Team1,Astralis,OpTic,16,1,Dust2
Team1,Astralis,OpTic,16,14,Vertigo
Team1,Astralis,OpTic,16,7,Dust2
Team1,Astralis,Renegades,16,9,Nuke
Team1,Astralis,Sharks,19,15,Nuke
Team1,Astralis,Spirit,16,8,Nuke
Team1,Astralis,ViCi,16,4,Nuke
Team1,Astralis,Vitality,16,10,Dust2
Team1,Astralis,Vitality,17,19,Overpass
Team1,Astralis,Vitality,22,19,Inferno
Team1,Astralis,Vitality,22,19,Vertigo
Team1,Astralis,Vitality,8,16,Dust2
Team1,Astralis,Vitality,9,16,Overpass
Team1,Astralis,ex-3DMAX,16,7,Nuke
Team1,Astralis,fnatic,16,1,Train
Team1,Astralis,fnatic,16,11,Nuke
Team1,Astralis,fnatic,16,14,Inferno
Team1,Astralis,fnatic,16,14,Train
Team1,Astralis,fnatic,16,6,Nuke
Team1,Astralis,fnatic,16,8,Vertigo
Team1,Astralis,fnatic,23,25,Nuke
Team1,Astralis,fnatic,9,16,Overpass
Team1,Astralis,mousesports,16,9,Overpass
Team2,Astralis,Aristocracy,16,9,Vertigo
Team2,Astralis,BIG,16,4,Overpass
Team2,Astralis,Cloud9,16,3,Nuke
Team2,Astralis,Cloud9,16,7,Overpass
Team2,Astralis,Complexity,11,16,Dust2
Team2,Astralis,Complexity,12,16,Vertigo
Team2,Astralis,Complexity,16,3,Dust2
Team2,Astralis,Complexity,16,4,Vertigo
Team2,Astralis,DreamEaters,16,9,Dust2
Team2,Astralis,ENCE,13,16,Dust2
Team2,Astralis,Evil Geniuses,14,16,Dust2
Team2,Astralis,FURIA,10,16,Mirage
Team2,Astralis,FURIA,13,16,Nuke
Team2,Astralis,FURIA,14,16,Nuke
Team2,Astralis,FaZe,16,9,Nuke
Team2,Astralis,G2,13,16,Dust2
Team2,Astralis,G2,16,7,Nuke
Team2,Astralis,GODSENT,16,5,Vertigo
Team2,Astralis,Ghost,16,2,Train
Team2,Astralis,Giants,16,7,Nuke
Team2,Astralis,HellRaisers,16,4,Dust2
Team2,Astralis,Heroic,16,7,Vertigo
Team2,Astralis,LDLC,16,7,Dust2
Team2,Astralis,Liquid,11,16,Dust2
Team2,Astralis,Liquid,11,16,Overpass
Team2,Astralis,Liquid,13,16,Dust2
Team2,Astralis,Liquid,14,16,Inferno
Team2,Astralis,Liquid,14,16,Overpass
Team2,Astralis,Liquid,16,4,Inferno
Team2,Astralis,NRG,13,16,Train
Team2,Astralis,NRG,28,31,Train
Team2,Astralis,Natus Vincere,15,15,Nuke
Team2,Astralis,Natus Vincere,16,6,Train
Team2,Astralis,Natus Vincere,16,7,Inferno
Team2,Astralis,NiP,12,16,Vertigo
Team2,Astralis,NiP,16,2,Mirage
Team2,Astralis,NiP,16,5,Inferno
Team2,Astralis,NiP,16,8,Dust2
Team2,Astralis,North,16,4,Vertigo
Team2,Astralis,North,16,8,Inferno
Team2,Astralis,OpTic,16,6,Nuke
Team2,Astralis,Renegades,17,19,Mirage
Team2,Astralis,Spirit,16,6,Dust2
Team2,Astralis,ViCi,16,5,Inferno
Team2,Astralis,Vitality,16,9,Overpass
Team2,Astralis,ex-3DMAX,16,6,Mirage
Team2,Astralis,fnatic,12,16,Overpass
Team2,Astralis,fnatic,13,16,Dust2
Team2,Astralis,fnatic,16,9,Overpass
Team2,Astralis,mousesports,19,22,Train
