Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Athletico,Content,16,10,Mirage
Team1,Athletico,Genuine,16,14,Nuke
Team1,Athletico,Genuine,18,22,Inferno
Team1,Athletico,Genuine,6,16,Overpass
Team1,Athletico,Ground Zero,16,13,Mirage
Team1,Athletico,Ground Zero,19,17,Nuke
Team1,Athletico,ORDER,16,13,Mirage
Team1,Athletico,ORDER,5,16,Inferno
Team1,Athletico,ORDER,5,16,Inferno
Team1,Athletico,PC419,16,11,Inferno
Team1,Athletico,Skyfire,16,1,Mirage
Team1,Athletico,Watchmen,16,19,Dust2
Team2,Athletico,AVANT,11,16,Inferno
Team2,Athletico,Breakaway,11,16,Nuke
Team2,Athletico,ORDER,1,16,Nuke
Team2,Athletico,ORDER,11,16,Mirage
Team2,Athletico,ORDER,16,5,Nuke
Team2,Athletico,Paradox,16,8,Dust2
Team2,Athletico,Rooster,10,16,Overpass
Team2,Athletico,Watchmen,16,9,Cache
