Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,BLUEJAYS,Budapest Five,16,12,Dust2
Team1,BLUEJAYS,Budapest Five,16,8,Vertigo
Team1,BLUEJAYS,Defusekids,16,10,Inferno
Team1,BLUEJAYS,Dracarys,5,16,Mirage
Team1,BLUEJAYS,Dracarys,7,16,Inferno
Team1,BLUEJAYS,DreamEaters,8,16,Inferno
Team1,BLUEJAYS,Epsilon,1,16,Inferno
Team1,BLUEJAYS,FATE,13,16,Vertigo
Team1,BLUEJAYS,FATE,16,13,Train
Team1,BLUEJAYS,FATE,9,16,Inferno
Team1,BLUEJAYS,LDLC,16,10,Inferno
Team1,BLUEJAYS,Maknitude,16,11,Nuke
Team1,BLUEJAYS,Mustang Crew,16,14,Mirage
Team1,BLUEJAYS,STEP,19,17,Vertigo
Team1,BLUEJAYS,Salamander,16,6,Nuke
Team1,BLUEJAYS,Se7en,9,16,Train
Team1,BLUEJAYS,Secret,6,16,Train
Team1,BLUEJAYS,Secret,8,16,Overpass
Team1,BLUEJAYS,Singularity,16,13,Inferno
Team1,BLUEJAYS,The Final Tribe,16,12,Dust2
Team1,BLUEJAYS,Tricked,3,16,Nuke
Team1,BLUEJAYS,Tricked,7,16,Inferno
Team1,BLUEJAYS,Universe,16,7,Nuke
Team1,BLUEJAYS,Valiance,7,16,Nuke
Team1,BLUEJAYS,iNation,16,10,Train
Team2,BLUEJAYS,Defusekids,16,5,Train
Team2,BLUEJAYS,Espada,14,16,Dust2
Team2,BLUEJAYS,LDLC,16,9,Nuke
Team2,BLUEJAYS,Lyngby Vikings,12,16,Inferno
Team2,BLUEJAYS,Mustang Crew,16,5,Vertigo
Team2,BLUEJAYS,STEP,14,16,Dust2
Team2,BLUEJAYS,Salamander,16,5,Mirage
Team2,BLUEJAYS,Se7en,11,16,Inferno
Team2,BLUEJAYS,Se7en,16,9,Nuke
Team2,BLUEJAYS,Singularity,22,25,Mirage
Team2,BLUEJAYS,The Final Tribe,16,9,Inferno
Team2,BLUEJAYS,Turkey5,16,7,Inferno
Team2,BLUEJAYS,Universe,16,5,Inferno
Team2,BLUEJAYS,adwokacik,16,5,Train
