Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,BOOT-d S ,Alpha Red,16,13,Nuke
Team1,BOOT-d S ,Alpha Red,16,14,Mirage
Team1,BOOT-d S ,Alpha Red,16,9,Dust2
Team1,BOOT-d S ,Alpha Red,3,16,Dust2
Team1,BOOT-d S ,BTRG,16,11,Dust2
Team1,BOOT-d S ,BTRG,22,20,Mirage
Team1,BOOT-d S ,Beyond,14,16,Inferno
Team1,BOOT-d S ,Beyond,16,1,Mirage
Team1,BOOT-d S ,Beyond,16,9,Nuke
Team1,BOOT-d S ,Entity,16,14,Mirage
Team1,BOOT-d S ,Entity,16,2,Mirage
Team1,BOOT-d S ,Liquid,9,16,Nuke
Team1,BOOT-d S ,Lucid Dream,16,11,Train
Team1,BOOT-d S ,Lucid Dream,16,12,Nuke
Team1,BOOT-d S ,Lucid Dream,22,20,Nuke
Team1,BOOT-d S ,Lucid Dream,7,16,Dust2
Team1,BOOT-d S ,MVP PK,16,13,Mirage
Team1,BOOT-d S ,MVP PK,16,14,Inferno
Team1,BOOT-d S ,MVP PK,4,16,Dust2
Team1,BOOT-d S ,MVP PK,5,16,Nuke
Team1,BOOT-d S ,NASR,8,16,Mirage
Team1,BOOT-d S ,RRQ,19,16,Dust2
Team1,BOOT-d S ,TNC,19,17,Mirage
Team2,BOOT-d S ,AOES,14,16,Mirage
Team2,BOOT-d S ,BTRG,11,16,Train
Team2,BOOT-d S ,Beyond,16,19,Mirage
Team2,BOOT-d S ,Entity,16,2,Inferno
Team2,BOOT-d S ,Entity,16,6,Inferno
Team2,BOOT-d S ,Global,16,9,Dust2
Team2,BOOT-d S ,Grayhound,13,16,Dust2
Team2,BOOT-d S ,NASR,14,16,Inferno
Team2,BOOT-d S ,TNC,16,5,Cache
