Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,BOOT,AUGUST,16,11,Nuke
Team1,BOOT,Alpha Red,16,11,Nuke
Team1,BOOT,Alpha Red,16,14,Train
Team1,BOOT,Alpha Red,3,16,Train
Team1,BOOT,Alpha Red,9,16,Dust2
Team1,BOOT,Beyond,16,11,Inferno
Team1,BOOT,Beyond,16,12,Dust2
Team1,BOOT,Bren,14,16,Nuke
Team1,BOOT,Bren,14,16,Train
Team1,BOOT,Bren,16,10,Nuke
Team1,BOOT,EHOME,16,8,Inferno
Team1,BOOT,Invictus,16,11,Vertigo
Team1,BOOT,JavsrieN,16,13,Mirage
Team1,BOOT,LaZe,16,10,Nuke
Team1,BOOT,LaZe,19,15,Train
Team1,BOOT,Lucid Dream,12,16,Dust2
Team1,BOOT,Lucid Dream,16,10,Nuke
Team1,BOOT,Lucid Dream,16,10,Vertigo
Team1,BOOT,Lucid Dream,16,12,Dust2
Team1,BOOT,Lucid Dream,16,14,Mirage
Team1,BOOT,Lucid Dream,16,9,Mirage
Team1,BOOT,MVP PK,9,16,Dust2
Team1,BOOT,Mazaalai,16,4,Nuke
Team1,BOOT,VTE,16,1,Nuke
Team1,BOOT,ViCi,19,16,Dust2
Team1,BOOT,nomercy,16,3,Vertigo
Team2,BOOT,AUGUST,16,7,Dust2
Team2,BOOT,Alpha Red,16,7,Mirage
Team2,BOOT,Aster,16,19,Inferno
Team2,BOOT,BTRG,12,16,Mirage
Team2,BOOT,BTRG,16,7,Dust2
Team2,BOOT,BTRG,16,7,Mirage
Team2,BOOT,BTRG,17,19,Dust2
Team2,BOOT,Beyond,14,16,Mirage
Team2,BOOT,Bren,16,5,Inferno
Team2,BOOT,Bren,16,8,Dust2
Team2,BOOT,Bren,17,19,Inferno
Team2,BOOT,D13,16,2,Nuke
Team2,BOOT,EHOME,16,9,Train
Team2,BOOT,GTV.Revolution,16,3,Dust2
Team2,BOOT,Goodfellas,16,4,Nuke
Team2,BOOT,Invictus,16,5,Train
Team2,BOOT,JavsrieN,16,7,Vertigo
Team2,BOOT,LaZe,10,16,Mirage
Team2,BOOT,LaZe,16,2,Vertigo
Team2,BOOT,Lucid Dream,12,16,Mirage
Team2,BOOT,MVP PK,10,16,Inferno
Team2,BOOT,Mazaalai,16,5,Dust2
Team2,BOOT,VG.Anthrax,16,3,Inferno
Team2,BOOT,VG.Anthrax,16,8,Train
Team2,BOOT,XCN,16,8,Dust2
Team2,BOOT,nomercy,16,3,Inferno
