Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,BTRG,5POWER,10,16,Train
Team1,BTRG,5POWER,19,15,Dust2
Team1,BTRG,Aster,16,14,Train
Team1,BTRG,Aster,22,19,Inferno
Team1,BTRG,Beyond,16,11,Dust2
Team1,BTRG,Beyond,4,16,Inferno
Team1,BTRG,Beyond,9,16,Train
Team1,BTRG,Blank,16,10,Inferno
Team1,BTRG,Blank,19,17,Overpass
Team1,BTRG,GTV.Revolution,16,12,Train
Team1,BTRG,Maple,16,5,Overpass
Team1,BTRG,OneThree,6,16,Nuke
Team1,BTRG,OneThree,7,16,Overpass
Team1,BTRG,Syntax,16,14,Mirage
Team1,BTRG,TYLOO,8,16,Inferno
Team1,BTRG,TYLOO,9,16,Train
Team1,BTRG,VTE,16,0,Train
Team1,BTRG,Very1z,16,10,Mirage
Team1,BTRG,nxl,16,13,Dust2
Team2,BTRG,5POWER,10,16,Dust2
Team2,BTRG,5POWER,10,16,Train
Team2,BTRG,5POWER,16,7,Mirage
Team2,BTRG,BOOT,13,16,Nuke
Team2,BTRG,Beyond,13,16,Overpass
Team2,BTRG,Beyond,16,6,Overpass
Team2,BTRG,Goodfellas,16,5,Mirage
Team2,BTRG,Lucid Dream,11,16,Mirage
Team2,BTRG,Syntax,15,19,Overpass
Team2,BTRG,Syntax,16,3,Mirage
Team2,BTRG,Syntax,16,3,Overpass
Team2,BTRG,Very1z,16,3,Inferno
Team2,BTRG,ZIGMA,12,16,Train
Team2,BTRG,nxl,16,5,Mirage
