Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Bad News Bears,Big Frames,16,1,Mirage
Team1,Bad News Bears,Bushido Boyz,16,11,Inferno
Team1,Bad News Bears,Cloud9,4,16,Dust2
Team1,Bad News Bears,Envy,16,14,Dust2
Team1,Bad News Bears,Envy,19,17,Dust2
Team1,Bad News Bears,Envy,4,16,Train
Team1,Bad News Bears,Luminosity,9,16,Train
Team1,Bad News Bears,Mythic,16,0,Dust2
Team1,Bad News Bears,Mythic,16,13,Inferno
Team1,Bad News Bears,Mythic,16,13,Overpass
Team1,Bad News Bears,Party Astronauts,16,13,Mirage
Team1,Bad News Bears,Recon 5,16,5,Train
Team1,Bad News Bears,Recon 5,19,17,Nuke
Team1,Bad News Bears,Royal,16,11,Overpass
Team1,Bad News Bears,Royal,9,16,Mirage
Team1,Bad News Bears,Rugratz,16,11,Inferno
Team1,Bad News Bears,Rugratz,19,17,Inferno
Team1,Bad News Bears,Rugratz,8,16,Overpass
Team1,Bad News Bears,Singularity,16,13,Overpass
Team1,Bad News Bears,Swole Identity,8,16,Mirage
Team1,Bad News Bears,Swole Patrol,16,11,Dust2
Team1,Bad News Bears,TeamOne,16,10,Inferno
Team1,Bad News Bears,TeamOne,16,12,Dust2
Team1,Bad News Bears,TeamOne,19,16,Mirage
Team1,Bad News Bears,TeamOne,19,17,Train
Team1,Bad News Bears,TeamOne,8,16,Nuke
Team1,Bad News Bears,The Quest,16,10,Overpass
Team1,Bad News Bears,Triumph,16,10,Train
Team1,Bad News Bears,Triumph,6,16,Vertigo
Team1,Bad News Bears,Yeah,16,9,Overpass
Team1,Bad News Bears,Yeah,19,17,Dust2
Team2,Bad News Bears,ATK,13,16,Inferno
Team2,Bad News Bears,Big Frames,16,2,Inferno
Team2,Bad News Bears,Cloud9,10,16,Inferno
Team2,Bad News Bears,Complexity,11,16,Cache
Team2,Bad News Bears,Complexity,11,16,Mirage
Team2,Bad News Bears,Denial,16,8,Overpass
Team2,Bad News Bears,District 7,16,7,Vertigo
Team2,Bad News Bears,Divine,16,4,Inferno
Team2,Bad News Bears,Dogs of War,16,2,Overpass
Team2,Bad News Bears,Dogs of War,16,7,Inferno
Team2,Bad News Bears,Envy,16,3,Overpass
Team2,Bad News Bears,FURIA,16,19,Overpass
Team2,Bad News Bears,FURIA,16,7,Mirage
Team2,Bad News Bears,Final Feature,16,2,Cache
Team2,Bad News Bears,Fragging for Andy,16,5,Dust2
Team2,Bad News Bears,Ghost,11,16,Dust2
Team2,Bad News Bears,Ghost,13,16,Train
Team2,Bad News Bears,In The Lab,16,3,Train
Team2,Bad News Bears,Infamous,16,2,Mirage
Team2,Bad News Bears,Liquid,13,16,Overpass
Team2,Bad News Bears,Luminosity,11,16,Overpass
Team2,Bad News Bears,Luminosity,16,7,Dust2
Team2,Bad News Bears,Luminosity,16,9,Inferno
Team2,Bad News Bears,Mythic,16,9,Dust2
Team2,Bad News Bears,Mythic,16,9,Overpass
Team2,Bad News Bears,New England Whalers,13,16,Inferno
Team2,Bad News Bears,New Identity,11,16,Overpass
Team2,Bad News Bears,New Identity,13,16,Inferno
Team2,Bad News Bears,Oceanus,16,4,Mirage
Team2,Bad News Bears,Party Astronauts,13,16,Mirage
Team2,Bad News Bears,Party Astronauts,16,2,Overpass
Team2,Bad News Bears,Party Astronauts,16,3,Dust2
Team2,Bad News Bears,Prospects,16,3,Mirage
Team2,Bad News Bears,Rugratz,10,16,Mirage
Team2,Bad News Bears,Rugratz,16,7,Inferno
Team2,Bad News Bears,Rugratz,16,8,Vertigo
Team2,Bad News Bears,Singularity,10,16,Nuke
Team2,Bad News Bears,Singularity,10,16,Overpass
Team2,Bad News Bears,Stay Frosty,12,16,Inferno
Team2,Bad News Bears,Swole Identity,14,16,Nuke
Team2,Bad News Bears,Swole Identity,16,9,Dust2
Team2,Bad News Bears,Swole Patrol,16,8,Overpass
Team2,Bad News Bears,TeamOne,12,16,Nuke
Team2,Bad News Bears,Thunder Logic,16,3,Inferno
Team2,Bad News Bears,Thunder Logic,16,6,Inferno
Team2,Bad News Bears,Triumph,16,6,Dust2
Team2,Bad News Bears,Under 21,18,22,Dust2
Team2,Bad News Bears,Variance,16,2,Overpass
Team2,Bad News Bears,iNTACT,16,5,Train
