Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Beyond,AOES,16,12,Mirage
Team1,Beyond,AOES,16,3,Dust2
Team1,Beyond,AOES,19,17,Mirage
Team1,Beyond,Alpha Red,6,16,Cache
Team1,Beyond,Alpha Red,7,16,Nuke
Team1,Beyond,Alpha Red,7,16,Vertigo
Team1,Beyond,Alpha Red,8,16,Mirage
Team1,Beyond,Alpha Red,8,16,Train
Team1,Beyond,Alpha Red,9,16,Overpass
Team1,Beyond,BOOM,16,8,Dust2
Team1,Beyond,BOOT,5,16,Inferno
Team1,Beyond,BOOT,6,16,Dust2
Team1,Beyond,BTRG,16,10,Train
Team1,Beyond,BTRG,16,9,Inferno
Team1,Beyond,Bren,16,12,Inferno
Team1,Beyond,D13,13,16,Inferno
Team1,Beyond,D13,16,10,Train
Team1,Beyond,D13,16,12,Nuke
Team1,Beyond,D13,16,5,Mirage
Team1,Beyond,DivisionX,16,8,Dust2
Team1,Beyond,DivisionX,9,16,Inferno
Team1,Beyond,JigadooD,16,9,Nuke
Team1,Beyond,Lucid Dream,12,16,Dust2
Team1,Beyond,Lucid Dream,22,20,Vertigo
Team1,Beyond,Lucid Dream,6,16,Nuke
Team1,Beyond,MVP PK,8,16,Mirage
Team1,Beyond,Maple,14,16,Inferno
Team1,Beyond,Maple,16,11,Inferno
Team1,Beyond,Maple,16,13,Overpass
Team1,Beyond,Maple,9,16,Inferno
Team1,Beyond,Maple,9,16,Mirage
Team1,Beyond,MiSG,16,13,Dust2
Team1,Beyond,TNC,5,16,Inferno
Team1,Beyond,ZIGMA,11,16,Overpass
Team1,Beyond,ZIGMA,16,10,Train
Team1,Beyond,ZIGMA,16,11,Nuke
Team1,Beyond,ZIGMA,6,16,Mirage
Team2,Beyond,AOES,16,7,Dust2
Team2,Beyond,Alpha Red,10,16,Mirage
Team2,Beyond,BOOM,16,8,Nuke
Team2,Beyond,BOOT-d S ,10,16,Cache
Team2,Beyond,BOOT-d S ,17,19,Inferno
Team2,Beyond,BTRG,13,16,Nuke
Team2,Beyond,D13,16,2,Train
Team2,Beyond,FrostFire,15,19,Cache
Team2,Beyond,JigadooD,16,4,Mirage
Team2,Beyond,Lucid Dream,11,16,Train
Team2,Beyond,Maple,12,16,Mirage
Team2,Beyond,Maple,16,9,Inferno
Team2,Beyond,Maple,16,9,Overpass
Team2,Beyond,MiSG,16,3,Mirage
Team2,Beyond,TNC,16,6,Mirage
