Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Big 5,Energy,13,16,Overpass
Team1,Big 5,Energy,13,16,Overpass
Team1,Big 5,Energy,16,11,Mirage
Team1,Big 5,Energy,16,13,Dust2
Team1,Big 5,Energy,19,16,Inferno
Team1,Big 5,Gamedock,16,4,Inferno
Team1,Big 5,Goliath,16,1,Mirage
Team1,Big 5,Goliath,28,26,Inferno
Team1,Big 5,Ladon,16,5,Dust2
Team1,Big 5,Omnius,16,5,Overpass
Team1,Big 5,Sinister5,12,16,Mirage
Team1,Big 5,Sinister5,16,7,Mirage
Team2,Big 5,Gamedock,16,2,Mirage
Team2,Big 5,Goliath,16,7,Mirage
Team2,Big 5,Ladon,16,5,Inferno
Team2,Big 5,Omnius,16,7,Train
Team2,Big 5,Sinister5,10,16,Dust2
Team2,Big 5,Sinister5,10,16,Inferno
Team2,Big 5,Sinister5,11,16,Dust2
