Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Big Frames,Ascent,16,10,Mirage
Team1,Big Frames,Ascent,16,14,Train
Team1,Big Frames,BLITZKRIEG,11,16,Dust2
Team1,Big Frames,Bad News Bears,6,16,Nuke
Team1,Big Frames,Ben's Anime Team,2,16,Dust2
Team1,Big Frames,Bronchitis,16,12,Train
Team1,Big Frames,Bushido Boyz,14,16,Dust2
Team1,Big Frames,Divine,8,16,Vertigo
Team1,Big Frames,Dogs of War,16,13,Dust2
Team1,Big Frames,Dogs of War,16,13,Mirage
Team1,Big Frames,Infinity,16,12,Mirage
Team1,Big Frames,Kobruh,16,5,Dust2
Team1,Big Frames,Kobruh,8,16,Mirage
Team1,Big Frames,New England Whalers,5,16,Nuke
Team1,Big Frames,New England Whalers,6,16,Dust2
Team1,Big Frames,Rap Gang,16,6,Vertigo
Team1,Big Frames,Rugratz,4,16,Nuke
Team1,Big Frames,Rugratz,7,16,Mirage
Team1,Big Frames,Strings' Llama Pack,16,14,Inferno
Team1,Big Frames,Strings' Llama Pack,16,5,Nuke
Team1,Big Frames,The Quest,7,16,Nuke
Team1,Big Frames,Thunder Logic,16,13,Mirage
Team1,Big Frames,Way 2 French,16,1,Mirage
Team1,Big Frames,heX,16,10,Nuke
Team1,Big Frames,heX,16,14,Mirage
Team2,Big Frames,Ascent,16,8,Inferno
Team2,Big Frames,BLITZKRIEG,11,16,Mirage
Team2,Big Frames,Bronchitis,16,4,Dust2
Team2,Big Frames,Bushido Boyz,11,16,Nuke
Team2,Big Frames,Divine,11,16,Overpass
Team2,Big Frames,GameAgents,16,6,Mirage
Team2,Big Frames,In The Lab,10,16,Mirage
Team2,Big Frames,Keep the Comms Up,16,3,Mirage
Team2,Big Frames,LiViD,16,8,Mirage
Team2,Big Frames,Monstars,16,5,Mirage
Team2,Big Frames,Monstars,16,5,Nuke
Team2,Big Frames,New England Whalers,17,19,Nuke
Team2,Big Frames,Peeker's Advantage,10,16,Overpass
Team2,Big Frames,Prospects,16,6,Inferno
Team2,Big Frames,Rap Gang,12,16,Nuke
Team2,Big Frames,Rap Gang,16,7,Overpass
Team2,Big Frames,Rugratz,14,16,Nuke
Team2,Big Frames,Station7,16,3,Overpass
Team2,Big Frames,Swole Identity,22,25,Inferno
Team2,Big Frames,Triumph,20,22,Nuke
