Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Budapest Five,Avengers,16,9,Train
Team1,Budapest Five,Nemiga,7,16,Inferno
Team1,Budapest Five,Nemiga,8,16,Dust2
Team1,Budapest Five,Nexus,14,16,Train
Team1,Budapest Five,Nexus,16,13,Mirage
Team1,Budapest Five,Nexus,16,14,Inferno
Team1,Budapest Five,Salamander,14,16,Train
Team1,Budapest Five,Unique,16,10,Train
Team1,Budapest Five,Unique,16,5,Mirage
Team1,Budapest Five,pharsyde,5,16,Mirage
Team2,Budapest Five,Nexus,14,16,Inferno
Team2,Budapest Five,Salamander,16,9,Mirage
