Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Buffdaddy's Paypal,Faint,16,9,Mirage
Team1,Buffdaddy's Paypal,Polar Ace,16,12,Inferno
Team1,Buffdaddy's Paypal,Serac,16,10,Nuke
Team1,Buffdaddy's Paypal,Serac,16,9,Mirage
Team1,Buffdaddy's Paypal,TeamOne,5,16,Dust2
Team1,Buffdaddy's Paypal,bloo,16,14,Overpass
Team1,Buffdaddy's Paypal,bloo,8,16,Dust2
Team2,Buffdaddy's Paypal,AA,12,16,Mirage
Team2,Buffdaddy's Paypal,Faint,16,8,Nuke
Team2,Buffdaddy's Paypal,Infinity,13,16,Dust2
Team2,Buffdaddy's Paypal,Keep the Comms Up,13,16,Mirage
Team2,Buffdaddy's Paypal,Polar Ace,16,5,Mirage
Team2,Buffdaddy's Paypal,bloo,13,16,Inferno
