Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Bushido Boyz,Big Frames,16,13,Nuke
Team1,Bushido Boyz,Divine,19,17,Inferno
Team1,Bushido Boyz,INTZ,2,16,Mirage
Team1,Bushido Boyz,New Identity,3,16,Overpass
Team1,Bushido Boyz,Northeast Mayhem,16,11,Nuke
Team1,Bushido Boyz,Northeast Mayhem,16,8,Dust2
Team1,Bushido Boyz,Oceanus,19,16,Mirage
Team1,Bushido Boyz,Peeker's Advantage,16,10,Overpass
Team1,Bushido Boyz,Peeker's Advantage,16,12,Mirage
Team1,Bushido Boyz,Rebirth,16,11,Mirage
Team1,Bushido Boyz,The Quest,5,16,Dust2
Team1,Bushido Boyz,The Quest,8,16,Nuke
Team1,Bushido Boyz,Thunder Logic,16,14,Inferno
Team1,Bushido Boyz,Thunder Logic,16,9,Dust2
Team1,Bushido Boyz,Thunder Logic,6,16,Dust2
Team1,Bushido Boyz,Thunder Logic,6,16,Train
Team1,Bushido Boyz,Thunder Logic,7,16,Inferno
Team1,Bushido Boyz,Thunder Logic,7,16,Overpass
Team1,Bushido Boyz,absolute mad lads,13,16,Nuke
Team1,Bushido Boyz,absolute mad lads,16,14,Inferno
Team1,Bushido Boyz,heX,16,10,Overpass
Team2,Bushido Boyz,Just Swing,14,16,Mirage
Team2,Bushido Boyz,Monstars,10,16,Overpass
Team2,Bushido Boyz,Northeast Mayhem,11,16,Mirage
Team2,Bushido Boyz,Oceanus,16,7,Nuke
Team2,Bushido Boyz,Prospects,16,2,Overpass
Team2,Bushido Boyz,Prospects,16,5,Dust2
Team2,Bushido Boyz,Rap Gang,11,16,Mirage
Team2,Bushido Boyz,Rebirth,16,7,Nuke
Team2,Bushido Boyz,heX,16,3,Mirage
