Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Complexity,ATK,16,9,Mirage
Team1,Complexity,ATK,2,16,Inferno
Team1,Complexity,Astralis,11,16,Train
Team1,Complexity,Astralis,6,16,Nuke
Team1,Complexity,BIG,16,10,Mirage
Team1,Complexity,BIG,16,14,Dust2
Team1,Complexity,BIG,6,16,Cache
Team1,Complexity,BIG,7,16,Inferno
Team1,Complexity,BIG,9,16,Dust2
Team1,Complexity,BIG,9,16,Mirage
Team1,Complexity,Bad News Bears,16,9,Mirage
Team1,Complexity,Cloud9,16,11,Mirage
Team1,Complexity,Cloud9,16,13,Dust2
Team1,Complexity,Cloud9,3,16,Nuke
Team1,Complexity,Cloud9,5,16,Overpass
Team1,Complexity,Dignitas,16,11,Dust2
Team1,Complexity,Dignitas,28,24,Train
Team1,Complexity,ENCE,16,11,Mirage
Team1,Complexity,Envy,16,10,Inferno
Team1,Complexity,Envy,16,10,Vertigo
Team1,Complexity,Envy,19,16,Inferno
Team1,Complexity,Envy,22,25,Mirage
Team1,Complexity,Envy,9,16,Vertigo
Team1,Complexity,Espada,16,3,Dust2
Team1,Complexity,Evil Geniuses,11,16,Dust2
Team1,Complexity,Evil Geniuses,5,16,Inferno
Team1,Complexity,FURIA,16,9,Mirage
Team1,Complexity,FURIA,7,16,Inferno
Team1,Complexity,FURIA,9,16,Mirage
Team1,Complexity,FaZe,14,16,Dust2
Team1,Complexity,FaZe,2,16,Cache
Team1,Complexity,GODSENT,16,11,Dust2
Team1,Complexity,GODSENT,16,11,Inferno
Team1,Complexity,Gen.G,16,10,Train
Team1,Complexity,Gen.G,19,15,Mirage
Team1,Complexity,HellRaisers,5,16,Inferno
Team1,Complexity,Heretics,16,14,Mirage
Team1,Complexity,Heretics,7,16,Nuke
Team1,Complexity,INTZ,10,16,Overpass
Team1,Complexity,INTZ,16,11,Train
Team1,Complexity,Isurus,8,16,Dust2
Team1,Complexity,Lazarus,16,11,Mirage
Team1,Complexity,Lazarus,16,13,Nuke
Team1,Complexity,Lazarus,19,17,Mirage
Team1,Complexity,Lazarus,8,16,Train
Team1,Complexity,Liquid,16,12,Cache
Team1,Complexity,Liquid,2,16,Dust2
Team1,Complexity,Liquid,3,16,Inferno
Team1,Complexity,Luminosity,16,14,Cache
Team1,Complexity,Luminosity,9,16,Mirage
Team1,Complexity,MIBR,16,11,Dust2
Team1,Complexity,MIBR,16,14,Mirage
Team1,Complexity,MIBR,16,9,Dust2
Team1,Complexity,NRG,16,11,Nuke
Team1,Complexity,NRG,19,16,Cache
Team1,Complexity,NRG,22,19,Nuke
Team1,Complexity,Natus Vincere,9,16,Mirage
Team1,Complexity,Nordavind,16,5,Mirage
Team1,Complexity,Riot Squad,16,11,Mirage
Team1,Complexity,Riot Squad,16,12,Inferno
Team1,Complexity,SMASH,16,14,Mirage
Team1,Complexity,SMASH,8,16,Overpass
Team1,Complexity,Singularity,16,9,Cache
Team1,Complexity,Sprout,16,12,Nuke
Team1,Complexity,Sprout,16,6,Overpass
Team1,Complexity,Swole Patrol,13,16,Inferno
Team1,Complexity,Swole Patrol,16,14,Cache
Team1,Complexity,TYLOO,16,2,Vertigo
Team1,Complexity,TYLOO,22,20,Overpass
Team1,Complexity,The Quest,14,16,Mirage
Team1,Complexity,Vitality,3,16,Inferno
Team1,Complexity,eUnited,10,16,Mirage
Team1,Complexity,eUnited,16,14,Inferno
Team1,Complexity,eUnited,16,9,Dust2
Team1,Complexity,forZe,17,19,Mirage
Team1,Complexity,forZe,9,16,Dust2
Team2,Complexity,ATK,13,16,Train
Team2,Complexity,ATK,14,16,Nuke
Team2,Complexity,AVANGAR,13,16,Inferno
Team2,Complexity,AVEZ,16,9,Inferno
Team2,Complexity,Apologis,16,6,Dust2
Team2,Complexity,BIG,13,16,Overpass
Team2,Complexity,BIG,16,9,Nuke
Team2,Complexity,Bad News Bears,16,2,Inferno
Team2,Complexity,Cloud9,14,16,Dust2
Team2,Complexity,Cloud9,14,16,Inferno
Team2,Complexity,Envy,10,16,Cache
Team2,Complexity,Envy,11,16,Inferno
Team2,Complexity,Espada,13,16,Mirage
Team2,Complexity,Evil Geniuses,13,16,Overpass
Team2,Complexity,FATE,16,5,Mirage
Team2,Complexity,FATE,16,5,Train
Team2,Complexity,FURIA,13,16,Nuke
Team2,Complexity,FURIA,14,16,Nuke
Team2,Complexity,FaZe,12,16,Train
Team2,Complexity,Gen.G,13,16,Inferno
Team2,Complexity,Ghost,15,19,Nuke
Team2,Complexity,MIBR,13,16,Mirage
Team2,Complexity,MIBR,16,2,Nuke
Team2,Complexity,NRG,16,5,Mirage
Team2,Complexity,Natus Vincere,10,16,Train
Team2,Complexity,Natus Vincere,12,16,Nuke
Team2,Complexity,NiP,12,16,Train
Team2,Complexity,Nordavind,16,4,Train
Team2,Complexity,PACT,10,16,Inferno
Team2,Complexity,Rogue,20,22,Inferno
Team2,Complexity,Salamander,16,4,Nuke
Team2,Complexity,Salamander,16,9,Mirage
Team2,Complexity,Singularity,13,16,Inferno
Team2,Complexity,Sinners,14,16,Mirage
Team2,Complexity,Sprout,16,4,Inferno
Team2,Complexity,Sprout,16,9,Inferno
Team2,Complexity,The Quest,14,16,Overpass
Team2,Complexity,eUnited,10,16,Overpass
Team2,Complexity,eUnited,11,16,Nuke
Team2,Complexity,eUnited,13,16,Nuke
Team2,Complexity,fnatic,14,16,Train
Team2,Complexity,forZe,16,9,Train
