Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,DETONA,9z,16,3,Inferno
Team1,DETONA,ATK,16,12,Dust2
Team1,DETONA,ATK,9,16,Overpass
Team1,DETONA,All Knights,16,14,Mirage
Team1,DETONA,All Knights,16,7,Dust2
Team1,DETONA,Alma,16,0,Mirage
Team1,DETONA,Alma,17,19,Train
Team1,DETONA,BIG,16,11,Dust2
Team1,DETONA,BIG,8,16,Inferno
Team1,DETONA,Bulldozer,16,10,Mirage
Team1,DETONA,Denial,16,9,Mirage
Team1,DETONA,Denial,28,24,Overpass
Team1,DETONA,Envy,16,12,Dust2
Team1,DETONA,Heretics,13,16,Dust2
Team1,DETONA,Heretics,16,10,Inferno
Team1,DETONA,Imperial,16,6,Cache
Team1,DETONA,Infinity,16,12,Dust2
Team1,DETONA,Infinity,16,13,Train
Team1,DETONA,Infinity,16,14,Overpass
Team1,DETONA,Infinity,16,9,Inferno
Team1,DETONA,Inflames,16,8,Mirage
Team1,DETONA,Inflames,19,17,Inferno
Team1,DETONA,Isurus,12,16,Inferno
Team1,DETONA,Isurus,16,10,Mirage
Team1,DETONA,Isurus,16,10,Train
Team1,DETONA,Isurus,16,13,Dust2
Team1,DETONA,Isurus,16,9,Mirage
Team1,DETONA,Isurus,3,16,Nuke
Team1,DETONA,Isurus,4,16,Inferno
Team1,DETONA,Isurus,5,16,Mirage
Team1,DETONA,Isurus,8,16,Inferno
Team1,DETONA,Isurus,8,16,Mirage
Team1,DETONA,Keyd,16,12,Inferno
Team1,DETONA,Keyd,16,7,Dust2
Team1,DETONA,Keyd,8,16,Train
Team1,DETONA,Movistar Riders,16,11,Mirage
Team1,DETONA,Orgless,12,16,Dust2
Team1,DETONA,Orgless,4,16,Train
Team1,DETONA,RED Canids,14,16,Nuke
Team1,DETONA,RED Canids,19,17,Dust2
Team1,DETONA,RED Canids,9,16,Train
Team1,DETONA,Reapers,16,12,Inferno
Team1,DETONA,Redemption POA,12,16,Vertigo
Team1,DETONA,Rejected,16,13,Mirage
