Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Darkhorse,30.6,16,13,Overpass
Team1,Darkhorse,BOOT,16,19,Mirage
Team1,Darkhorse,BOOT,4,16,Train
Team1,Darkhorse,Bren,5,16,Dust2
Team1,Darkhorse,Easy 5,16,8,Overpass
Team1,Darkhorse,Entity,16,13,Dust2
Team1,Darkhorse,Lucid Dream,13,16,Inferno
Team1,Darkhorse,VG.Anthrax,16,12,Dust2
Team2,Darkhorse,30.6,15,19,Vertigo
Team2,Darkhorse,Easy 5,16,6,Mirage
Team2,Darkhorse,FrostFire,11,16,Dust2
Team2,Darkhorse,FrostFire,12,16,Mirage
Team2,Darkhorse,Impunity,16,5,Inferno
Team2,Darkhorse,Lucid Dream,11,16,Dust2
Team2,Darkhorse,VG.Anthrax,16,3,Overpass
Team2,Darkhorse,ex-Genuine,10,16,Dust2
