Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Denial,FURIA,2,16,Nuke
Team1,Denial,Fake Aim,16,6,Overpass
Team1,Denial,Forty Six and 2,16,10,Inferno
Team1,Denial,Furious,16,10,Dust2
Team1,Denial,Infinity,16,13,Dust2
Team1,Denial,Infinity,16,14,Inferno
Team1,Denial,MASSIVEimpact,16,10,Inferno
Team1,Denial,OpTic,5,16,Inferno
Team1,Denial,OpTic,8,16,Overpass
Team1,Denial,TeamOne,2,16,Train
Team1,Denial,TeamOne,8,16,Dust2
Team1,Denial,The Quest,16,13,Inferno
Team1,Denial,W7M,2,16,Train
Team2,Denial,Envy,16,2,Cache
Team2,Denial,Fake Aim,16,3,Train
Team2,Denial,Final Feature,14,16,Inferno
Team2,Denial,Fit-Pel,16,8,Overpass
Team2,Denial,Fragging for Andy,16,6,Train
Team2,Denial,INTZ,16,8,Train
Team2,Denial,Infinity,17,19,Mirage
Team2,Denial,Luminosity,14,16,Overpass
Team2,Denial,Mythic,11,16,Nuke
Team2,Denial,NASR,16,5,Inferno
Team2,Denial,NASR,16,6,Train
Team2,Denial,NONAME,16,6,Inferno
Team2,Denial,Singularity,16,4,Nuke
Team2,Denial,Spacestation,16,9,Overpass
Team2,Denial,TeamOne,12,16,Inferno
Team2,Denial,TeamOne,16,2,Overpass
Team2,Denial,TeamOne,16,3,Train
Team2,Denial,The Fundamentals,16,9,Overpass
Team2,Denial,The Quest,16,3,Nuke
Team2,Denial,W7M,11,16,Nuke
