Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Eimi Fukada FC,Chiefs,7,16,Dust2
Team1,Eimi Fukada FC,Chiefs,8,16,Train
Team1,Eimi Fukada FC,Paradox,11,16,Dust2
Team1,Eimi Fukada FC,Paradox,25,22,Train
Team1,Eimi Fukada FC,i sleep,22,20,Dust2
Team1,Eimi Fukada FC,i sleep,22,20,Dust2
Team1,Eimi Fukada FC,i sleep,22,20,Dust2
Team1,Eimi Fukada FC,i sleep,22,20,Dust2
Team1,Eimi Fukada FC,i sleep,22,20,Dust2
Team1,Eimi Fukada FC,i sleep,22,20,Dust2
Team1,Eimi Fukada FC,i sleep,22,20,Dust2
Team1,Eimi Fukada FC,i sleep,22,20,Dust2
Team1,Eimi Fukada FC,i sleep,22,20,Dust2
Team1,Eimi Fukada FC,i sleep,22,20,Dust2
Team1,Eimi Fukada FC,i sleep,22,20,Dust2
Team1,Eimi Fukada FC,i sleep,22,20,Dust2
Team2,Eimi Fukada FC,Rooster,11,16,Overpass
Team2,Eimi Fukada FC,i sleep,12,16,Nuke
Team2,Eimi Fukada FC,i sleep,12,16,Nuke
Team2,Eimi Fukada FC,i sleep,12,16,Nuke
Team2,Eimi Fukada FC,i sleep,12,16,Nuke
Team2,Eimi Fukada FC,i sleep,12,16,Nuke
Team2,Eimi Fukada FC,i sleep,12,16,Nuke
Team2,Eimi Fukada FC,i sleep,12,16,Nuke
Team2,Eimi Fukada FC,i sleep,12,16,Nuke
Team2,Eimi Fukada FC,i sleep,12,16,Nuke
Team2,Eimi Fukada FC,i sleep,12,16,Nuke
Team2,Eimi Fukada FC,i sleep,12,16,Nuke
Team2,Eimi Fukada FC,i sleep,12,16,Nuke
