Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Energy,Big 5,16,8,Train
Team1,Energy,Big 5,19,16,Inferno
Team1,Energy,Big 5,22,19,Inferno
Team1,Energy,Big 5,9,16,Dust2
Team1,Energy,Exdee,16,3,Nuke
Team1,Energy,Goliath,13,16,Overpass
Team1,Energy,Goliath,16,12,Inferno
Team1,Energy,Goliath,16,12,Vertigo
Team1,Energy,Goliath,16,13,Inferno
Team1,Energy,Goliath,16,13,Train
Team1,Energy,Goliath,4,16,Overpass
Team1,Energy,Goliath,5,16,Nuke
Team1,Energy,Goliath,7,16,Mirage
Team1,Energy,Goliath,8,16,Nuke
Team1,Energy,Goliath,8,16,Overpass
Team1,Energy,Good,16,9,Mirage
Team1,Energy,Grayhound,7,16,Dust2
Team1,Energy,White Rabbit,16,13,Inferno
Team2,Energy,Big 5,12,16,Mirage
Team2,Energy,Big 5,16,3,Overpass
Team2,Energy,Big 5,16,8,Train
Team2,Energy,Exdee,16,8,Dust2
Team2,Energy,Goliath,16,8,Inferno
Team2,Energy,Goliath,25,28,Vertigo
Team2,Energy,Good,16,9,Dust2
