Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Entity,2ez,16,10,Inferno
Team1,Entity,2ez,16,8,Nuke
Team1,Entity,BL4ZE,14,16,Dust2
Team1,Entity,BL4ZE,9,16,Nuke
Team1,Entity,BOOM,9,16,Dust2
Team1,Entity,Bren,16,14,Mirage
Team1,Entity,Bren,6,16,Train
Team1,Entity,GTV.Revolution,16,7,Overpass
Team1,Entity,Global,7,16,Dust2
Team1,Entity,Lucid Dream,1,16,Mirage
Team1,Entity,Lucid Dream,5,16,Nuke
Team1,Entity,RRQ,16,10,Train
Team1,Entity,Signify,4,16,Inferno
Team1,Entity,Signify,6,16,Overpass
Team1,Entity,Wasted Potential,16,12,Overpass
Team1,Entity,Wings,16,1,Train
Team1,Entity,Wings,19,17,Mirage
Team1,Entity,iYATi,16,0,Overpass
Team2,Entity,Bren,10,16,Nuke
Team2,Entity,District 9,16,4,Train
Team2,Entity,GTV.Revolution,16,7,Mirage
Team2,Entity,Global,12,16,Inferno
Team2,Entity,Global,16,6,Train
Team2,Entity,JHS,16,2,Inferno
Team2,Entity,JHS,16,8,Train
Team2,Entity,Xtreme 5,16,6,Mirage
