Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Espada,Akatsuki,13,16,Dust2
Team1,Espada,Akatsuki,16,10,Overpass
Team1,Espada,Akatsuki,16,11,Nuke
Team1,Espada,Akatsuki,8,16,Overpass
Team1,Espada,BIG,3,16,Overpass
Team1,Espada,BIG,7,16,Train
Team1,Espada,BIG Academy,16,4,Dust2
Team1,Espada,BIG Academy,8,16,Mirage
Team1,Espada,BLUEJAYS,10,16,Nuke
Team1,Espada,Complexity,6,16,Inferno
Team1,Espada,Dracarys,16,11,Dust2
Team1,Espada,Dracarys,16,13,Nuke
Team1,Espada,Dracarys,16,2,Dust2
Team1,Espada,EXTREMUM,14,16,Dust2
Team1,Espada,EXTREMUM,16,13,Mirage
Team1,Espada,EXTREMUM,16,9,Inferno
Team1,Espada,EXTREMUM,9,16,Mirage
Team1,Espada,Endpoint,16,13,Dust2
Team1,Espada,Endpoint,16,19,Mirage
Team1,Espada,FATE,16,7,Vertigo
Team1,Espada,FATE,9,16,Dust2
Team1,Espada,Gambit Youngsters,13,16,Dust2
Team1,Espada,Gambit Youngsters,13,16,Mirage
Team1,Espada,Gambit Youngsters,16,12,Overpass
Team1,Espada,Gambit Youngsters,9,16,Mirage
Team1,Espada,HAVU,6,16,Vertigo
Team1,Espada,Hard Legion,22,18,Train
Team1,Espada,Hard Legion,22,25,Mirage
Team1,Espada,Hard Legion,9,16,Inferno
Team1,Espada,HellRaisers,16,12,Dust2
Team1,Espada,Heretics,16,7,Vertigo
Team1,Espada,Heretics,5,16,Dust2
Team1,Espada,KOVA,14,16,Dust2
Team1,Espada,Moscow CreepZ,16,12,Dust2
Team1,Espada,NOTBAD,16,12,Nuke
Team1,Espada,Nemiga,11,16,Dust2
Team1,Espada,Nemiga,16,13,Nuke
Team1,Espada,Nemiga,16,14,Overpass
Team1,Espada,Nemiga,4,16,Nuke
Team1,Espada,NewBALLS,6,16,Mirage
Team1,Espada,Pompa,16,9,Mirage
Team1,Espada,SKADE,13,16,Mirage
Team1,Espada,SKADE,16,10,Train
Team1,Espada,SKADE,16,14,Dust2
Team1,Espada,SKADE,9,16,Nuke
Team1,Espada,Se7en,10,16,Nuke
Team1,Espada,Singularity,16,11,Mirage
Team1,Espada,Space Jam,16,8,Inferno
Team1,Espada,Sprout,4,16,Nuke
Team1,Espada,Syman,6,16,Overpass
Team1,Espada,Tricked,16,14,Train
Team1,Espada,Tricked,2,16,Train
Team1,Espada,Unique,6,16,Dust2
Team1,Espada,Unique,7,16,Dust2
Team1,Espada,Virtus.pro,4,16,Nuke
Team1,Espada,bootcampPARTY,16,13,Mirage
Team1,Espada,bootcampPARTY,6,16,Nuke
Team1,Espada,eL'quvet,16,8,Dust2
Team1,Espada,ex-Windigo,17,19,Dust2
Team1,Espada,ex-Windigo,19,17,Overpass
Team1,Espada,forZe,8,16,Mirage
Team1,Espada,magazynpeek,16,14,Mirage
Team1,Espada,potatosquad,16,11,Nuke
Team1,Espada,pro100,12,16,Dust2
Team1,Espada,pro100,16,10,Train
Team1,Espada,pro100,16,14,Dust2
Team1,Espada,pro100,17,19,Overpass
Team1,Espada,pro100,19,17,Nuke
Team1,Espada,pro100,2,16,Train
Team1,Espada,pro100,7,16,Overpass
Team1,Espada,spray'n'pray,16,6,Train
Team2,Espada,BLUEJAYS,16,6,Mirage
Team2,Espada,Dracarys,16,8,Nuke
Team2,Espada,EXTREMUM,16,5,Dust2
Team2,Espada,FATE,11,16,Overpass
Team2,Espada,FATE,12,16,Overpass
Team2,Espada,FATE,16,7,Dust2
Team2,Espada,Gambit Youngsters,1,16,Dust2
Team2,Espada,Gambit Youngsters,14,16,Overpass
Team2,Espada,Gambit Youngsters,20,22,Mirage
Team2,Espada,Gambit Youngsters,22,25,Vertigo
Team2,Espada,GamerLegion,18,22,Mirage
Team2,Espada,GamerLegion,18,22,Overpass
Team2,Espada,HAVU,12,16,Train
Team2,Espada,Hard Legion,16,8,Mirage
Team2,Espada,HellRaisers,16,9,Mirage
Team2,Espada,Illuminar,16,9,Train
Team2,Espada,KOVA,16,8,Mirage
Team2,Espada,MAJESTY,16,2,Dust2
Team2,Espada,MAJESTY,16,7,Vertigo
Team2,Espada,Moscow CreepZ,16,8,Dust2
Team2,Espada,Nordavind,10,16,Overpass
Team2,Espada,Pompa,16,9,Train
Team2,Espada,Project X,14,16,Nuke
Team2,Espada,Project X,16,8,Dust2
Team2,Espada,Project X,20,22,Mirage
Team2,Espada,SKADE,13,16,Train
Team2,Espada,SKADE,16,4,Dust2
Team2,Espada,SKADE,16,8,Train
Team2,Espada,Singularity,11,16,Nuke
Team2,Espada,Space Jam,10,16,Train
Team2,Espada,Sprout,10,16,Overpass
Team2,Espada,Tricked,16,8,Dust2
Team2,Espada,Virtus.pro,10,16,Dust2
Team2,Espada,Virtus.pro,11,16,Inferno
Team2,Espada,Winstrike,11,16,Train
Team2,Espada,Winstrike,12,16,Dust2
Team2,Espada,Winstrike,16,9,Mirage
Team2,Espada,eL'quvet,16,2,Vertigo
Team2,Espada,gEgE,16,3,Dust2
Team2,Espada,magazynpeek,16,9,Dust2
Team2,Espada,potatosquad,16,3,Vertigo
Team2,Espada,potatosquad,17,19,Dust2
Team2,Espada,pro100,16,8,Train
Team2,Espada,spray'n'pray,16,8,Inferno
