Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Evil Geniuses,100 Thieves,12,16,Nuke
Team1,Evil Geniuses,100 Thieves,13,16,Train
Team1,Evil Geniuses,100 Thieves,16,10,Nuke
Team1,Evil Geniuses,100 Thieves,16,12,Inferno
Team1,Evil Geniuses,100 Thieves,16,12,Inferno
Team1,Evil Geniuses,100 Thieves,19,16,Nuke
Team1,Evil Geniuses,AVANGAR,16,10,Dust2
Team1,Evil Geniuses,Astralis,16,12,Dust2
Team1,Evil Geniuses,Astralis,16,13,Nuke
Team1,Evil Geniuses,Astralis,16,8,Nuke
Team1,Evil Geniuses,Astralis,8,16,Inferno
Team1,Evil Geniuses,Cloud9,16,10,Inferno
Team1,Evil Geniuses,Cloud9,16,13,Train
Team1,Evil Geniuses,Complexity,10,16,Nuke
Team1,Evil Geniuses,FURIA,16,12,Mirage
Team1,Evil Geniuses,FURIA,16,13,Train
Team1,Evil Geniuses,FURIA,16,14,Train
Team1,Evil Geniuses,FURIA,8,16,Mirage
Team1,Evil Geniuses,FaZe,16,12,Nuke
Team1,Evil Geniuses,FaZe,16,14,Inferno
Team1,Evil Geniuses,FaZe,16,6,Vertigo
Team1,Evil Geniuses,FaZe,6,16,Dust2
Team1,Evil Geniuses,FaZe,7,16,Nuke
Team1,Evil Geniuses,Gen.G,17,19,Nuke
Team1,Evil Geniuses,Heroic,16,10,Nuke
Team1,Evil Geniuses,Liquid,19,15,Nuke
Team1,Evil Geniuses,Liquid,7,16,Overpass
Team1,Evil Geniuses,Natus Vincere,11,16,Nuke
Team1,Evil Geniuses,NiP,4,16,Inferno
Team1,Evil Geniuses,OG,14,16,Nuke
Team1,Evil Geniuses,OG,16,14,Inferno
Team1,Evil Geniuses,OG,3,16,Mirage
Team1,Evil Geniuses,Orgless,16,13,Mirage
Team1,Evil Geniuses,Orgless,16,6,Inferno
Team1,Evil Geniuses,TYLOO,16,12,Mirage
Team1,Evil Geniuses,TYLOO,16,9,Inferno
Team1,Evil Geniuses,Triumph,16,14,Mirage
Team1,Evil Geniuses,Triumph,16,6,Nuke
Team1,Evil Geniuses,eUnited,16,12,Inferno
Team1,Evil Geniuses,eUnited,6,16,Vertigo
Team1,Evil Geniuses,fnatic,16,12,Dust2
Team1,Evil Geniuses,fnatic,16,13,Inferno
Team1,Evil Geniuses,forZe,1,16,Mirage
Team1,Evil Geniuses,mousesports,19,17,Inferno
Team1,Evil Geniuses,mousesports,20,22,Train
Team1,Evil Geniuses,mousesports,4,16,Inferno
Team1,Evil Geniuses,mousesports,6,16,Train
Team2,Evil Geniuses,100 Thieves,16,4,Train
Team2,Evil Geniuses,100 Thieves,16,8,Mirage
Team2,Evil Geniuses,Astralis,16,3,Inferno
Team2,Evil Geniuses,Cloud9,16,2,Train
Team2,Evil Geniuses,Cloud9,16,9,Inferno
Team2,Evil Geniuses,Complexity,16,7,Mirage
Team2,Evil Geniuses,FaZe,12,16,Nuke
Team2,Evil Geniuses,Gen.G,16,6,Train
Team2,Evil Geniuses,Heroic,16,7,Overpass
Team2,Evil Geniuses,Heroic,17,19,Inferno
Team2,Evil Geniuses,OG,16,4,Train
Team2,Evil Geniuses,ex-Singularity,16,2,Mirage
Team2,Evil Geniuses,ex-Singularity,16,9,Dust2
Team2,Evil Geniuses,fnatic,16,3,Mirage
Team2,Evil Geniuses,fnatic,16,9,Mirage
Team2,Evil Geniuses,forZe,16,6,Nuke
Team2,Evil Geniuses,mousesports,10,16,Mirage
Team2,Evil Geniuses,mousesports,11,16,Train
