Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,FATE,AGF,16,10,Train
Team1,FATE,Ambush,14,16,Train
Team1,FATE,Ambush,4,16,Inferno
Team1,FATE,Apeks,16,14,Overpass
Team1,FATE,BIG,5,16,Inferno
Team1,FATE,Bpro,14,16,Train
Team1,FATE,Bpro,16,12,Mirage
Team1,FATE,Bpro,16,14,Train
Team1,FATE,Bpro,19,15,Train
Team1,FATE,Bpro,9,16,Mirage
Team1,FATE,Copenhagen Flames,6,16,Train
Team1,FATE,Copenhagen Flames,8,16,Vertigo
Team1,FATE,EXTREMUM,16,7,Dust2
Team1,FATE,Endpoint,16,10,Overpass
Team1,FATE,Gambit Youngsters,19,17,Train
Team1,FATE,HAVU,3,16,Dust2
Team1,FATE,HAVU,4,16,Vertigo
Team1,FATE,HellRaisers,16,11,Train
Team1,FATE,HellRaisers,19,16,Dust2
Team1,FATE,KOVA,8,16,Dust2
Team1,FATE,LDLC,16,12,Overpass
Team1,FATE,Movistar Riders,16,13,Inferno
Team1,FATE,Movistar Riders,16,13,Overpass
Team1,FATE,Movistar Riders,4,16,Overpass
Team1,FATE,Nordavind,8,16,Inferno
Team1,FATE,PACT,16,12,Overpass
Team1,FATE,Prima,16,9,Inferno
Team1,FATE,Prima,5,16,Vertigo
Team1,FATE,RADNICKI,16,14,Dust2
Team1,FATE,Rocketlauncher$,13,16,Overpass
Team1,FATE,Rocketlauncher$,16,14,Dust2
Team1,FATE,SJ,16,14,Train
Team1,FATE,SKADE,11,16,Train
Team1,FATE,SKADE,12,16,Dust2
Team1,FATE,SKADE,16,8,Dust2
Team1,FATE,Sangal,16,9,Overpass
Team1,FATE,Singularity,16,10,Inferno
Team1,FATE,Singularity,6,16,Nuke
Team1,FATE,TDR,16,10,Inferno
Team1,FATE,Tricked,16,11,Inferno
Team1,FATE,Tricked,7,16,Mirage
Team1,FATE,Tricked,8,16,Train
Team1,FATE,Turkey5,16,3,Train
Team1,FATE,Turkey5,16,3,Train
Team1,FATE,Turkey5,16,3,Train
Team1,FATE,Turkey5,16,3,Train
Team1,FATE,Turkey5,16,3,Train
Team1,FATE,Turkey5,16,3,Train
Team1,FATE,Turkey5,16,3,Train
Team1,FATE,Turkey5,16,3,Train
Team1,FATE,Turkey5,16,3,Train
Team1,FATE,Turkey5,16,3,Train
Team1,FATE,Turkey5,16,3,Train
Team1,FATE,Turkey5,16,3,Train
Team1,FATE,ex-BLUEJAYS,16,14,Train
Team1,FATE,ex-BLUEJAYS,7,16,Inferno
Team1,FATE,sAw,16,7,Train
Team1,FATE,sAw,4,16,Nuke
Team1,FATE,ttc,16,10,Overpass
Team1,FATE,x-kom,11,16,Inferno
Team1,FATE,x-kom,5,16,Overpass
Team2,FATE,AGF,10,16,Overpass
Team2,FATE,AGF,16,3,Vertigo
Team2,FATE,ALTERNATE aTTaX,10,16,Overpass
Team2,FATE,Ambush,13,16,Vertigo
Team2,FATE,Ambush,17,19,Dust2
Team2,FATE,Copenhagen Flames,13,16,Inferno
Team2,FATE,EXTREMUM,12,16,Inferno
Team2,FATE,Endpoint,12,16,Dust2
Team2,FATE,GamerLegion,26,28,Mirage
Team2,FATE,HellRaisers,12,16,Inferno
Team2,FATE,RADNICKI,16,7,Overpass
Team2,FATE,SKADE,14,16,Inferno
Team2,FATE,Salamander,16,5,Inferno
Team2,FATE,Salamander,16,5,Overpass
Team2,FATE,Sangal,16,5,Inferno
Team2,FATE,Singularity,19,22,Overpass
Team2,FATE,TDR,16,8,Mirage
Team2,FATE,Turkey5,16,7,Dust2
Team2,FATE,Turkey5,16,7,Dust2
Team2,FATE,Turkey5,16,7,Dust2
Team2,FATE,Turkey5,16,7,Dust2
Team2,FATE,Turkey5,16,7,Dust2
Team2,FATE,Turkey5,16,7,Dust2
Team2,FATE,Turkey5,16,7,Dust2
Team2,FATE,Turkey5,16,7,Dust2
Team2,FATE,Turkey5,16,7,Dust2
Team2,FATE,Turkey5,16,7,Dust2
Team2,FATE,Turkey5,16,7,Dust2
Team2,FATE,Turkey5,16,7,Dust2
Team2,FATE,Unicorns of Love,16,6,Overpass
Team2,FATE,ttc,16,7,Mirage
