Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,FURIA,100 Thieves,16,12,Nuke
Team1,FURIA,5POWER,16,1,Inferno
Team1,FURIA,5POWER,16,7,Mirage
Team1,FURIA,AVANGAR,13,16,Mirage
Team1,FURIA,AVANGAR,16,10,Overpass
Team1,FURIA,AVANGAR,16,12,Inferno
Team1,FURIA,AVANGAR,8,16,Inferno
Team1,FURIA,Bad News Bears,16,10,Cache
Team1,FURIA,Bad News Bears,16,10,Inferno
Team1,FURIA,Bad News Bears,16,10,Inferno
Team1,FURIA,Bad News Bears,16,12,Inferno
Team1,FURIA,Bad News Bears,16,8,Mirage
Team1,FURIA,CR4ZY,16,11,Vertigo
Team1,FURIA,Chaos,14,16,Mirage
Team1,FURIA,Chiefs,16,11,Nuke
Team1,FURIA,Chiefs,19,16,Train
Team1,FURIA,Chris and the boys,16,1,Overpass
Team1,FURIA,Cloud9,1,16,Inferno
Team1,FURIA,Cloud9,16,1,Mirage
Team1,FURIA,Cloud9,16,10,Mirage
Team1,FURIA,Cloud9,16,12,Train
Team1,FURIA,Complexity,16,11,Nuke
Team1,FURIA,Complexity,16,11,Overpass
Team1,FURIA,Complexity,16,13,Nuke
Team1,FURIA,Complexity,16,8,Overpass
Team1,FURIA,ENCE,9,16,Nuke
Team1,FURIA,Envy,14,16,Mirage
Team1,FURIA,Envy,16,11,Cache
Team1,FURIA,Envy,16,11,Mirage
Team1,FURIA,Envy,16,7,Nuke
Team1,FURIA,Envy,16,9,Mirage
Team1,FURIA,Envy,16,9,Mirage
Team1,FURIA,Evil Geniuses,13,16,Nuke
Team1,FURIA,G2,16,14,Mirage
Team1,FURIA,G2,16,14,Vertigo
Team1,FURIA,Gen.G,16,12,Vertigo
Team1,FURIA,Gen.G,6,16,Train
Team1,FURIA,Gen.G,9,16,Inferno
Team1,FURIA,Ghost,16,11,Nuke
Team1,FURIA,HellRaisers,10,16,Cache
Team1,FURIA,INTZ,14,16,Nuke
Team1,FURIA,INTZ,16,9,Mirage
Team1,FURIA,INTZ,19,15,Mirage
Team1,FURIA,INTZ,8,16,Train
Team1,FURIA,Isurus,16,8,Nuke
Team1,FURIA,Lazarus,16,14,Overpass
Team1,FURIA,Lazarus,9,16,Inferno
Team1,FURIA,Liquid,16,12,Vertigo
Team1,FURIA,Liquid,16,13,Mirage
Team1,FURIA,Liquid,16,14,Overpass
Team1,FURIA,Luminosity,12,16,Overpass
Team1,FURIA,Luminosity,16,11,Inferno
Team1,FURIA,Luminosity,16,11,Mirage
Team1,FURIA,Luminosity,16,11,Overpass
Team1,FURIA,Luminosity,16,12,Vertigo
Team1,FURIA,Luminosity,16,5,Inferno
Team1,FURIA,Luminosity,16,7,Overpass
Team1,FURIA,Luminosity,4,16,Inferno
Team1,FURIA,MIBR,16,10,Vertigo
Team1,FURIA,MIBR,16,14,Inferno
Team1,FURIA,MIBR,16,14,Mirage
Team1,FURIA,MIBR,16,14,Mirage
Team1,FURIA,MIBR,19,17,Inferno
Team1,FURIA,MIBR,6,16,Inferno
Team1,FURIA,NRG,19,22,Nuke
Team1,FURIA,NRG,6,16,Train
Team1,FURIA,NRG,7,16,Train
Team1,FURIA,NRG,9,16,Inferno
Team1,FURIA,NRG,9,16,Nuke
Team1,FURIA,NiP,6,16,Mirage
Team1,FURIA,North,16,11,Inferno
Team1,FURIA,North,22,20,Overpass
Team1,FURIA,Party Astronauts,16,10,Overpass
Team1,FURIA,Party Astronauts,16,8,Nuke
Team1,FURIA,Party Astronauts,8,16,Overpass
Team1,FURIA,Prospects,16,1,Nuke
Team1,FURIA,Renegades,16,11,Mirage
Team1,FURIA,Riot Squad,16,10,Nuke
Team1,FURIA,Riot Squad,16,14,Mirage
Team1,FURIA,Singularity,14,16,Mirage
Team1,FURIA,Singularity,16,11,Train
