Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Falkol,Alma,16,12,Train
Team1,Falkol,Alma,16,13,Train
Team1,Falkol,Alma,16,8,Overpass
Team1,Falkol,Altima,16,6,Train
Team1,Falkol,DETONA,16,13,Mirage
Team1,Falkol,EOX,16,11,Inferno
Team1,Falkol,FURIA Inagame,16,3,Overpass
Team1,Falkol,RUFUS,16,12,Overpass
Team1,Falkol,RUFUS,17,19,Overpass
Team1,Falkol,RUFUS,7,16,Inferno
Team1,Falkol,Soberano,11,16,Train
Team1,Falkol,Soberano,16,10,Inferno
Team1,Falkol,W7M,16,12,Inferno
Team1,Falkol,W7M,16,19,Train
Team2,Falkol,Alma,12,16,Inferno
Team2,Falkol,Alma,16,9,Nuke
Team2,Falkol,Altima,16,6,Mirage
Team2,Falkol,DETONA,12,16,Overpass
Team2,Falkol,DETONA,13,16,Train
Team2,Falkol,EOX,16,7,Mirage
Team2,Falkol,RUFUS,11,16,Train
Team2,Falkol,RUFUS,14,16,Train
Team2,Falkol,RUFUS,16,8,Overpass
