Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,FrostFire,AOES,11,16,Inferno
Team1,FrostFire,Absolute,5,16,Inferno
Team1,FrostFire,BOOT-d S ,9,16,Mirage
Team1,FrostFire,Beyond,19,22,Inferno
Team1,FrostFire,Furious,5,16,Dust2
Team1,FrostFire,Grayhound,7,16,Inferno
Team1,FrostFire,LaZe,6,16,Mirage
Team1,FrostFire,Mazaalai,8,16,Nuke
Team1,FrostFire,Orange,13,16,Dust2
Team1,FrostFire,Orange,19,17,Inferno
Team1,FrostFire,VG.Anthrax,16,10,Inferno
Team1,FrostFire,VG.Anthrax,16,13,Vertigo
Team1,FrostFire,Vitality,6,16,Cache
Team1,FrostFire,ahq,16,12,Dust2
Team1,FrostFire,ahq,16,3,Nuke
Team2,FrostFire,AOES,16,9,Mirage
Team2,FrostFire,Absolute,16,19,Cache
Team2,FrostFire,BOOT-d S ,11,16,Inferno
Team2,FrostFire,Beyond,16,9,Mirage
Team2,FrostFire,Furious,16,19,Inferno
Team2,FrostFire,Grayhound,10,16,Dust2
Team2,FrostFire,LDLC,14,16,Inferno
Team2,FrostFire,Mazaalai,12,16,Inferno
