Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,GODSENT,AVEZ,14,16,Inferno
Team1,GODSENT,CR4ZY,7,16,Dust2
Team1,GODSENT,Copenhagen Flames,16,13,Vertigo
Team1,GODSENT,Copenhagen Flames,16,8,Dust2
Team1,GODSENT,Copenhagen Flames,19,17,Nuke
Team1,GODSENT,ENCE,16,4,Inferno
Team1,GODSENT,ENCE,19,16,Nuke
Team1,GODSENT,G2,6,16,Vertigo
Team1,GODSENT,Gambit Youngsters,16,14,Dust2
Team1,GODSENT,GamerLegion,16,12,Overpass
Team1,GODSENT,Hard Legion,16,12,Vertigo
Team1,GODSENT,Hard Legion,5,16,Train
Team1,GODSENT,Heretics,16,8,Overpass
Team1,GODSENT,Illuminar,16,10,Vertigo
Team1,GODSENT,Natus Vincere,16,12,Dust2
Team1,GODSENT,Natus Vincere,7,16,Nuke
Team1,GODSENT,Nordavind,9,16,Dust2
Team1,GODSENT,North,16,11,Nuke
Team1,GODSENT,North,16,14,Nuke
Team1,GODSENT,OG,20,22,Dust2
Team1,GODSENT,SJ,16,11,Nuke
Team1,GODSENT,Spirit,16,12,Overpass
Team1,GODSENT,Spirit,16,13,Nuke
Team1,GODSENT,Spirit,6,16,Inferno
Team1,GODSENT,Spirit,8,16,Nuke
Team1,GODSENT,Tricked,16,14,Nuke
Team1,GODSENT,Tricked,16,8,Inferno
Team1,GODSENT,Virtus.pro,8,16,Train
Team1,GODSENT,Virtus.pro,9,16,Overpass
Team1,GODSENT,Vitality,7,16,Inferno
Team1,GODSENT,c0ntact,16,9,Vertigo
Team1,GODSENT,dopexx,16,11,Mirage
Team1,GODSENT,forZe,16,12,Overpass
Team1,GODSENT,forZe,16,7,Dust2
Team2,GODSENT,AVEZ,16,6,Overpass
Team2,GODSENT,Copenhagen Flames,13,16,Inferno
Team2,GODSENT,Dignitas,11,16,Inferno
Team2,GODSENT,ENCE,13,16,Train
Team2,GODSENT,ENCE,16,7,Nuke
Team2,GODSENT,G2,12,16,Dust2
Team2,GODSENT,Heretics,16,8,Inferno
Team2,GODSENT,Heroic,14,16,Overpass
Team2,GODSENT,Movistar Riders,13,16,Inferno
Team2,GODSENT,Movistar Riders,13,16,Overpass
Team2,GODSENT,Nemiga,16,9,Dust2
Team2,GODSENT,Nordavind,14,16,Overpass
Team2,GODSENT,North,11,16,Vertigo
Team2,GODSENT,North,16,9,Dust2
Team2,GODSENT,OG,16,3,Train
Team2,GODSENT,Spirit,10,16,Inferno
Team2,GODSENT,Spirit,11,16,Mirage
Team2,GODSENT,Spirit,16,9,Inferno
Team2,GODSENT,Vitality,14,16,Dust2
Team2,GODSENT,c0ntact,14,16,Inferno
Team2,GODSENT,forZe,10,16,Inferno
Team2,GODSENT,forZe,12,16,Inferno
