Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Gen.G,Chaos,9,16,Mirage
Team1,Gen.G,Cloud9,13,16,Nuke
Team1,Gen.G,Cloud9,13,16,Vertigo
Team1,Gen.G,Cloud9,16,10,Inferno
Team1,Gen.G,Cloud9,16,14,Train
Team1,Gen.G,Cloud9,9,16,Nuke
Team1,Gen.G,Divine,16,7,Nuke
Team1,Gen.G,Divine,16,9,Vertigo
Team1,Gen.G,Divine,19,16,Mirage
Team1,Gen.G,Envy,13,16,Inferno
Team1,Gen.G,Envy,19,17,Train
Team1,Gen.G,Evil Geniuses,16,14,Dust2
Team1,Gen.G,FURIA,19,15,Inferno
Team1,Gen.G,HAVU,6,16,Nuke
Team1,Gen.G,INTZ,10,16,Dust2
Team1,Gen.G,INTZ,16,11,Vertigo
Team1,Gen.G,INTZ,19,15,Overpass
Team1,Gen.G,Orgless,16,7,Inferno
Team1,Gen.G,Riot Squad,16,12,Train
Team1,Gen.G,Triumph,10,16,Dust2
Team1,Gen.G,Triumph,16,1,Vertigo
Team2,Gen.G,Chaos,16,8,Train
Team2,Gen.G,Cloud9,17,19,Vertigo
Team2,Gen.G,Divine,16,4,Mirage
Team2,Gen.G,FURIA,16,7,Nuke
Team2,Gen.G,FURIA,16,9,Inferno
Team2,Gen.G,Holding W,16,8,Mirage
Team2,Gen.G,INTZ,14,16,Vertigo
Team2,Gen.G,Just For Fun,14,16,Train
Team2,Gen.G,Just For Fun,16,4,Inferno
Team2,Gen.G,Just For Fun,16,7,Train
Team2,Gen.G,MIBR,12,16,Train
Team2,Gen.G,Orgless,16,7,Mirage
Team2,Gen.G,Riot Squad,16,6,Dust2
Team2,Gen.G,Triumph,16,8,Inferno
