Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Ghost,ATK,16,8,Overpass
Team1,Ghost,Big Frames,16,5,Nuke
Team1,Ghost,Cloud9,16,13,Inferno
Team1,Ghost,Cloud9,8,16,Nuke
Team1,Ghost,Complexity,16,13,Overpass
Team1,Ghost,Denial,9,16,Inferno
Team1,Ghost,ENCE,16,14,Overpass
Team1,Ghost,ENCE,6,16,Mirage
Team1,Ghost,Envy,16,10,Dust2
Team1,Ghost,Envy,16,10,Nuke
Team1,Ghost,Envy,16,10,Train
Team1,Ghost,Envy,7,16,Inferno
Team1,Ghost,FURIA,16,14,Overpass
Team1,Ghost,G2,8,16,Train
Team1,Ghost,Infinity,16,5,Nuke
Team1,Ghost,Lazarus,16,11,Inferno
Team1,Ghost,Lazarus,16,11,Overpass
Team1,Ghost,Liquid,8,16,Inferno
Team1,Ghost,Luminosity,14,16,Train
Team1,Ghost,NRG,5,16,Mirage
Team1,Ghost,NRG,9,16,Nuke
Team1,Ghost,Renegades,16,14,Dust2
Team1,Ghost,Vitality,9,16,Overpass
Team1,Ghost,eUnited,14,16,Nuke
Team1,Ghost,eUnited,18,22,Dust2
Team1,Ghost,eUnited,8,16,Mirage
Team1,Ghost,iNTACT,16,8,Train
Team2,Ghost,ATK,16,19,Dust2
Team2,Ghost,Big Frames,16,8,Cache
Team2,Ghost,Complexity,16,19,Mirage
Team2,Ghost,Denial,12,16,Train
Team2,Ghost,Infinity,16,7,Mirage
Team2,Ghost,Liquid,11,16,Dust2
Team2,Ghost,Luminosity,16,7,Overpass
Team2,Ghost,Vitality,20,22,Mirage
Team2,Ghost,eUnited,16,9,Mirage
Team2,Ghost,iNTACT,17,19,Overpass
