Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Giants,2019,16,14,Dust2
Team1,Giants,AGO,16,14,Dust2
Team1,Giants,Akopalipsa,14,16,Nuke
Team1,Giants,Akopalipsa,16,7,Nuke
Team1,Giants,Ancient,16,14,Dust2
Team1,Giants,Cream,16,3,Dust2
Team1,Giants,FTW,16,14,Train
Team1,Giants,GameAgents,5,16,Nuke
Team1,Giants,HAVU,16,12,Nuke
Team1,Giants,Hard Legion,16,13,Dust2
Team1,Giants,Heretics,12,16,Dust2
Team1,Giants,MAD Lions,16,10,Vertigo
Team1,Giants,Movistar Riders,16,12,Vertigo
Team1,Giants,Movistar Riders,19,22,Vertigo
Team1,Giants,Movistar Riders,6,16,Inferno
Team1,Giants,OFFSET,16,13,Overpass
Team1,Giants,Queso,16,14,Inferno
Team1,Giants,SJ,16,11,Inferno
Team1,Giants,Sprout,9,16,Overpass
Team1,Giants,Unique,16,14,Nuke
Team1,Giants,Unique,7,16,Mirage
Team1,Giants,Uruguay,6,16,Overpass
Team1,Giants,eXploit,14,16,Nuke
Team1,Giants,ex-Fragsters,8,16,Nuke
Team1,Giants,pro100,19,16,Nuke
Team1,Giants,x-kom,8,16,Nuke
Team1,Giants,x6tence,16,11,Nuke
Team1,Giants,x6tence,16,14,Inferno
Team2,Giants,AGO,13,16,Dust2
Team2,Giants,CLEANTmix,16,8,Dust2
Team2,Giants,Cream,16,8,Mirage
Team2,Giants,GTZ Bulls,12,16,Overpass
Team2,Giants,Heretics,14,16,Inferno
Team2,Giants,Izako Boars,16,9,Nuke
Team2,Giants,MAD Lions,16,4,Nuke
Team2,Giants,Movistar Riders,15,19,Train
Team2,Giants,Nordavind,15,19,Inferno
Team2,Giants,Queso,14,16,Vertigo
Team2,Giants,SJ,13,16,Nuke
Team2,Giants,SJ,16,6,Dust2
Team2,Giants,Sprout,16,6,Nuke
Team2,Giants,Uruguay,10,16,Dust2
Team2,Giants,eXploit,14,16,Inferno
Team2,Giants,ex-Fragsters,11,16,Mirage
Team2,Giants,x6tence,11,16,Nuke
Team2,Giants,x6tence,11,16,Overpass
Team2,Giants,x6tence,12,16,Nuke
