Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Hard Legion,1WIN,16,7,Train
Team1,Hard Legion,ALTERNATE aTTaX,16,11,Overpass
Team1,Hard Legion,EXTREMUM,16,13,Inferno
Team1,Hard Legion,Espada,2,16,Overpass
Team1,Hard Legion,Espada,6,16,Dust2
Team1,Hard Legion,G2,7,16,Mirage
Team1,Hard Legion,G2,9,16,Vertigo
Team1,Hard Legion,GODSENT,16,6,Overpass
Team1,Hard Legion,Gambit Youngsters,16,9,Inferno
Team1,Hard Legion,Gambit Youngsters,7,16,Dust2
Team1,Hard Legion,Gambit Youngsters,7,16,Overpass
Team1,Hard Legion,Giants,4,16,Vertigo
Team1,Hard Legion,HAVU,6,16,Train
Team1,Hard Legion,HellRaisers,6,16,Dust2
Team1,Hard Legion,HellRaisers,9,16,Inferno
Team1,Hard Legion,Movistar Riders,16,7,Train
Team1,Hard Legion,Movistar Riders,9,16,Overpass
Team1,Hard Legion,Nemiga,16,13,Inferno
Team1,Hard Legion,Nemiga,16,14,Inferno
Team1,Hard Legion,Nemiga,5,16,Vertigo
Team1,Hard Legion,Nemiga,7,16,Overpass
Team1,Hard Legion,Phoenix,10,16,Overpass
Team1,Hard Legion,Phoenix,16,11,Mirage
Team1,Hard Legion,Phoenix,16,13,Overpass
Team1,Hard Legion,Phoenix,6,16,Mirage
Team1,Hard Legion,SJ,16,11,Overpass
Team1,Hard Legion,Salamander,16,11,Train
Team1,Hard Legion,Salamander,16,8,Inferno
Team1,Hard Legion,Spirit,16,14,Train
Team1,Hard Legion,Syman,16,11,Overpass
Team1,Hard Legion,Syman,17,19,Inferno
Team1,Hard Legion,Syman,7,16,Mirage
Team1,Hard Legion,Syman,7,16,Overpass
Team1,Hard Legion,Unique,16,10,Mirage
Team1,Hard Legion,Unique,16,11,Dust2
Team1,Hard Legion,Unique,16,11,Inferno
Team1,Hard Legion,Unique,16,12,Train
Team1,Hard Legion,Winstrike,7,16,Mirage
Team1,Hard Legion,pro100,8,16,Inferno
Team2,Hard Legion,EXTREMUM,16,8,Mirage
Team2,Hard Legion,Gambit Youngsters,15,19,Train
Team2,Hard Legion,Gambit Youngsters,16,6,Dust2
Team2,Hard Legion,Giants,16,9,Overpass
Team2,Hard Legion,HAVU,12,16,Mirage
Team2,Hard Legion,HellRaisers,16,9,Mirage
Team2,Hard Legion,HellRaisers,20,22,Overpass
Team2,Hard Legion,Heroic,14,16,Overpass
Team2,Hard Legion,Nemiga,14,16,Overpass
Team2,Hard Legion,SJ,16,19,Inferno
Team2,Hard Legion,Unique,12,16,Dust2
Team2,Hard Legion,Unique,16,8,Overpass
Team2,Hard Legion,Winstrike,15,19,Vertigo
Team2,Hard Legion,pro100,13,16,Nuke
