Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Heroic,100 Thieves,8,16,Vertigo
Team1,Heroic,AGO,16,10,Nuke
Team1,Heroic,AGO,16,7,Mirage
Team1,Heroic,AGO,3,16,Train
Team1,Heroic,AVANGAR,16,12,Mirage
Team1,Heroic,AVANGAR,19,16,Dust2
Team1,Heroic,AVANGAR,19,17,Inferno
Team1,Heroic,AVANGAR,9,16,Train
Team1,Heroic,AVEZ,16,3,Overpass
Team1,Heroic,BIG,16,10,Nuke
Team1,Heroic,BIG,16,10,Nuke
Team1,Heroic,BIG,16,13,Dust2
Team1,Heroic,BIG,16,13,Inferno
Team1,Heroic,BIG,16,13,Mirage
Team1,Heroic,BIG,16,13,Overpass
Team1,Heroic,BIG,16,14,Inferno
Team1,Heroic,BIG,16,7,Nuke
Team1,Heroic,BIG,9,16,Overpass
Team1,Heroic,CR4ZY,12,16,Inferno
Team1,Heroic,CR4ZY,13,16,Train
Team1,Heroic,Copenhagen Flames,14,16,Inferno
Team1,Heroic,Copenhagen Flames,23,25,Inferno
Team1,Heroic,Dignitas,16,11,Dust2
Team1,Heroic,Dignitas,8,16,Train
Team1,Heroic,EHOME,16,1,Nuke
Team1,Heroic,ENCE,16,10,Mirage
Team1,Heroic,FURIA,11,16,Inferno
Team1,Heroic,FURIA,9,16,Mirage
Team1,Heroic,FaZe,8,16,Mirage
Team1,Heroic,G2,17,19,Mirage
Team1,Heroic,G2,3,16,Vertigo
Team1,Heroic,GODSENT,16,8,Nuke
Team1,Heroic,GODSENT,5,16,Vertigo
Team1,Heroic,Gambit Youngsters,16,10,Overpass
Team1,Heroic,Gambit Youngsters,16,11,Train
Team1,Heroic,GamerLegion,16,14,Mirage
Team1,Heroic,GamerLegion,20,22,Overpass
Team1,Heroic,GamerLegion,22,19,Inferno
Team1,Heroic,Hard Legion,16,6,Vertigo
Team1,Heroic,Hard Legion,8,16,Dust2
Team1,Heroic,HellRaisers,16,4,Mirage
Team1,Heroic,Heretics,13,16,Inferno
Team1,Heroic,Illuminar,16,13,Overpass
Team1,Heroic,Japaleno,12,16,Inferno
Team1,Heroic,KOVA,16,10,Vertigo
Team1,Heroic,KOVA,16,13,Nuke
Team1,Heroic,KOVA,19,16,Nuke
Team1,Heroic,MAD Lions,13,16,Nuke
Team1,Heroic,MAD Lions,7,16,Train
Team1,Heroic,Natus Vincere,16,11,Nuke
Team1,Heroic,Natus Vincere,16,13,Inferno
Team1,Heroic,Natus Vincere,16,14,Overpass
Team1,Heroic,Natus Vincere,16,14,Train
Team1,Heroic,Natus Vincere,5,16,Nuke
