Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Ignis,2990,16,12,Train
Team1,Ignis,Absolute,16,12,Dust2
Team1,Ignis,Absolute,16,13,Dust2
Team1,Ignis,Absolute,2,16,Mirage
Team1,Ignis,Absolute,22,20,Inferno
Team1,Ignis,Absolute,9,16,Dust2
Team1,Ignis,Absolute,9,16,Overpass
Team1,Ignis,Aim4R,16,0,Nuke
Team1,Ignis,Aim4R,16,10,Nuke
Team1,Ignis,Aster,16,10,Dust2
Team1,Ignis,D13,11,16,Mirage
Team1,Ignis,D13,16,2,Mirage
Team1,Ignis,EHOME,22,19,Dust2
Team1,Ignis,Entry,16,6,Inferno
Team1,Ignis,Lucid Dream,13,16,Train
Team1,Ignis,MVP PK,14,16,Dust2
Team1,Ignis,Mazaalai,4,16,Train
Team1,Ignis,Mazaalai,8,16,Dust2
Team1,Ignis,Storm Rider,7,16,Mirage
Team1,Ignis,TheMongolz,16,13,Train
Team1,Ignis,TheMongolz,19,17,Nuke
Team1,Ignis,mix0r,16,12,Dust2
Team2,Ignis,Absolute,10,16,Inferno
Team2,Ignis,Absolute,10,16,Train
Team2,Ignis,Absolute,11,16,Inferno
Team2,Ignis,Aim4R,16,4,Train
Team2,Ignis,Aim4R,16,5,Train
Team2,Ignis,Aster,20,22,Cache
Team2,Ignis,D13,12,16,Inferno
Team2,Ignis,D13,16,7,Train
Team2,Ignis,Entry,16,7,Mirage
Team2,Ignis,Lucid Dream,10,16,Dust2
Team2,Ignis,MVP PK,16,19,Inferno
Team2,Ignis,Storm Rider,11,16,Inferno
Team2,Ignis,Storm Rider,16,4,Cache
Team2,Ignis,mix0r,16,3,Train
