Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Illuminar,1WIN,17,19,Nuke
Team1,Illuminar,1WIN,7,16,Overpass
Team1,Illuminar,AGO,16,12,Vertigo
Team1,Illuminar,AGO,16,13,Inferno
Team1,Illuminar,AGO,19,17,Train
Team1,Illuminar,AGO,6,16,Train
Team1,Illuminar,ARCY,16,11,Train
Team1,Illuminar,ARCY,16,12,Mirage
Team1,Illuminar,ARCY,16,12,Nuke
Team1,Illuminar,AVANGAR,16,13,Vertigo
Team1,Illuminar,Ancient,16,12,Mirage
Team1,Illuminar,BIG,16,14,Train
Team1,Illuminar,BIG,2,16,Nuke
Team1,Illuminar,CLEANTmix,16,2,Overpass
Team1,Illuminar,CLEANTmix,19,17,Mirage
Team1,Illuminar,Chaos,16,6,Vertigo
Team1,Illuminar,Chaos,16,9,Nuke
Team1,Illuminar,Chaos,9,16,Overpass
Team1,Illuminar,Copenhagen Flames,14,16,Vertigo
Team1,Illuminar,Copenhagen Flames,16,12,Inferno
Team1,Illuminar,Copenhagen Flames,16,14,Train
Team1,Illuminar,Copenhagen Flames,16,19,Overpass
Team1,Illuminar,Copenhagen Flames,9,16,Nuke
Team1,Illuminar,Demise,16,10,Vertigo
Team1,Illuminar,ENCE,7,16,Train
Team1,Illuminar,ENRAGE,19,17,Vertigo
Team1,Illuminar,ENRAGE,9,16,Mirage
Team1,Illuminar,FURIA,16,14,Vertigo
Team1,Illuminar,GODSENT,16,14,Nuke
Team1,Illuminar,Gambit Youngsters,22,18,Vertigo
Team1,Illuminar,GamerLegion,5,16,Inferno
Team1,Illuminar,HAVU,16,13,Overpass
Team1,Illuminar,HAVU,29,31,Vertigo
Team1,Illuminar,HAVU,4,16,Nuke
Team1,Illuminar,HellRaisers,16,14,Nuke
Team1,Illuminar,HellRaisers,19,16,Inferno
Team1,Illuminar,HellRaisers,5,16,Inferno
Team1,Illuminar,Izako Boars,16,11,Train
Team1,Illuminar,Izako Boars,16,7,Overpass
Team1,Illuminar,Japaleno,22,20,Mirage
Team1,Illuminar,Lyngby Vikings,14,16,Vertigo
Team1,Illuminar,Lyngby Vikings,6,16,Inferno
Team1,Illuminar,MAD Lions,17,19,Train
Team1,Illuminar,Movistar Riders,16,12,Vertigo
Team1,Illuminar,Movistar Riders,6,16,Inferno
Team1,Illuminar,Movistar Riders,6,16,Overpass
Team1,Illuminar,Movistar Riders,9,16,Train
Team1,Illuminar,NAVI Junior,16,12,Mirage
Team1,Illuminar,NAVI Junior,16,5,Vertigo
Team1,Illuminar,SMASH,16,12,Nuke
Team1,Illuminar,SMASH,16,12,Vertigo
Team1,Illuminar,SMASH,16,14,Overpass
Team1,Illuminar,SMASH,16,14,Train
Team1,Illuminar,SMASH,16,9,Mirage
Team1,Illuminar,Sprout,13,16,Train
Team1,Illuminar,Sprout,19,17,Nuke
Team1,Illuminar,Sprout,5,16,Train
Team1,Illuminar,Sprout,9,16,Nuke
Team1,Illuminar,Tricked,16,19,Mirage
Team1,Illuminar,Vexed,16,10,Mirage
Team1,Illuminar,Vexed,16,11,Nuke
Team1,Illuminar,Virtus.pro,3,16,Nuke
Team1,Illuminar,Wisla Krakow,16,9,Train
Team1,Illuminar,adwokacik,12,16,Inferno
Team1,Illuminar,adwokacik,16,10,Overpass
Team1,Illuminar,adwokacik,16,11,Inferno
Team1,Illuminar,pro100,16,10,Overpass
Team2,Illuminar,1WIN,16,8,Inferno
Team2,Illuminar,AVANGAR,16,9,Inferno
Team2,Illuminar,CR4ZY,13,16,Nuke
Team2,Illuminar,Chaos,16,7,Overpass
Team2,Illuminar,ENRAGE,16,8,Train
Team2,Illuminar,GODSENT,14,16,Overpass
Team2,Illuminar,GODSENT,16,8,Nuke
Team2,Illuminar,Giants,14,16,Vertigo
Team2,Illuminar,HAVU,13,16,Train
Team2,Illuminar,HAVU,14,16,Nuke
Team2,Illuminar,HAVU,16,19,Train
Team2,Illuminar,Heretics,11,16,Nuke
Team2,Illuminar,Heretics,13,16,Nuke
Team2,Illuminar,Nemiga,13,16,Nuke
Team2,Illuminar,Nordavind,11,16,Mirage
Team2,Illuminar,OFFSET,16,3,Nuke
Team2,Illuminar,OFFSET,16,6,Inferno
Team2,Illuminar,SJ,14,16,Train
Team2,Illuminar,SKADE,16,3,Overpass
Team2,Illuminar,SMASH,10,16,Nuke
Team2,Illuminar,SMASH,13,16,Mirage
Team2,Illuminar,Spirit,10,16,Train
Team2,Illuminar,Spirit,13,16,Nuke
Team2,Illuminar,Tricked,16,9,Inferno
Team2,Illuminar,Tricked,20,22,Overpass
Team2,Illuminar,Vexed,17,19,Overpass
Team2,Illuminar,Virtus.pro,16,5,Nuke
Team2,Illuminar,Wisla Krakow,16,4,Nuke
Team2,Illuminar,adwokacik,13,16,Mirage
Team2,Illuminar,ex-Epsilon,16,4,Overpass
Team2,Illuminar,forZe,15,19,Nuke
