Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Izako Boars,2115,16,7,Mirage
Team1,Izako Boars,AGO,11,16,Inferno
Team1,Izako Boars,AGO,15,19,Inferno
Team1,Izako Boars,AGO,16,13,Mirage
Team1,Izako Boars,AGO,4,16,Overpass
Team1,Izako Boars,ALTERNATE aTTaX,6,16,Train
Team1,Izako Boars,AVEZ,16,12,Train
Team1,Izako Boars,AVEZ,16,8,Overpass
Team1,Izako Boars,Ambush,16,10,Train
Team1,Izako Boars,Ambush,9,16,Overpass
Team1,Izako Boars,Ancient,10,16,Dust2
Team1,Izako Boars,CR4ZY,8,16,Vertigo
Team1,Izako Boars,Defusekids,22,18,Train
Team1,Izako Boars,Dracarys,16,12,Mirage
Team1,Izako Boars,Dracarys,16,5,Inferno
Team1,Izako Boars,Dracarys,2,16,Dust2
Team1,Izako Boars,DreamEaters,6,16,Dust2
Team1,Izako Boars,EXTREMUM,19,16,Dust2
Team1,Izako Boars,Espada,16,2,Train
Team1,Izako Boars,Gambit Youngsters,13,16,Train
Team1,Izako Boars,GamerLegion,9,16,Inferno
Team1,Izako Boars,Heretics,11,16,Mirage
Team1,Izako Boars,Heretics,16,14,Dust2
Team1,Izako Boars,LDLC,16,11,Train
Team1,Izako Boars,LDLC,16,12,Nuke
Team1,Izako Boars,LDLC,8,16,Dust2
Team1,Izako Boars,Movistar Riders,9,16,Overpass
Team1,Izako Boars,Nemiga,0,16,Mirage
Team1,Izako Boars,Nemiga,16,10,Nuke
Team1,Izako Boars,PACT,14,16,Nuke
Team1,Izako Boars,PACT,9,16,Inferno
Team1,Izako Boars,SJ,17,19,Dust2
Team1,Izako Boars,The Final Tribe,16,13,Train
Team1,Izako Boars,Tricked,16,10,Inferno
Team1,Izako Boars,Tricked,16,9,Cache
Team1,Izako Boars,Tricked,6,16,Inferno
Team1,Izako Boars,Unique,16,12,Vertigo
Team1,Izako Boars,Unique,6,16,Nuke
Team1,Izako Boars,Unique,7,16,Vertigo
Team1,Izako Boars,Unique,9,16,Nuke
Team1,Izako Boars,ad hoc,16,12,Dust2
Team1,Izako Boars,ex-Fragsters,16,13,Train
Team1,Izako Boars,expert,16,12,Inferno
Team1,Izako Boars,forZe,16,11,Train
Team1,Izako Boars,forZe,5,16,Inferno
Team1,Izako Boars,x-kom,5,16,Overpass
Team2,Izako Boars,2115,16,9,Nuke
Team2,Izako Boars,AGO,13,16,Train
Team2,Izako Boars,AGO,16,6,Vertigo
Team2,Izako Boars,AGO,16,7,Dust2
Team2,Izako Boars,AGO,17,19,Mirage
Team2,Izako Boars,AVEZ,12,16,Nuke
Team2,Izako Boars,AVEZ,16,6,Inferno
Team2,Izako Boars,Ambush,10,16,Dust2
Team2,Izako Boars,Ambush,16,5,Overpass
Team2,Izako Boars,Ancient,12,16,Nuke
Team2,Izako Boars,CLEANTmix,16,6,Nuke
Team2,Izako Boars,CLEANTmix,16,6,Train
Team2,Izako Boars,Chaos,12,16,Inferno
Team2,Izako Boars,Chaos,12,16,Mirage
Team2,Izako Boars,Codewise Unicorns,11,16,Inferno
Team2,Izako Boars,Defusekids,13,16,Vertigo
Team2,Izako Boars,Defusekids,16,7,Mirage
Team2,Izako Boars,Dracarys,14,16,Nuke
Team2,Izako Boars,DreamEaters,15,19,Mirage
Team2,Izako Boars,EXTREMUM,16,9,Train
Team2,Izako Boars,Endpoint,16,6,Mirage
Team2,Izako Boars,Espada,10,16,Overpass
Team2,Izako Boars,Espada,16,7,Nuke
Team2,Izako Boars,Gambit Youngsters,11,16,Inferno
Team2,Izako Boars,HAVU,12,16,Train
Team2,Izako Boars,HAVU,16,4,Nuke
Team2,Izako Boars,Movistar Riders,15,19,Train
Team2,Izako Boars,SKADE,13,16,Train
Team2,Izako Boars,SKADE,18,22,Mirage
Team2,Izako Boars,The Final Tribe,16,5,Inferno
Team2,Izako Boars,Tricked,11,16,Overpass
Team2,Izako Boars,Tricked,16,9,Train
Team2,Izako Boars,Tricked,17,19,Train
Team2,Izako Boars,Unique,16,19,Train
Team2,Izako Boars,Unique,16,5,Inferno
Team2,Izako Boars,Unique,16,8,Nuke
Team2,Izako Boars,Uruguay,16,19,Mirage
Team2,Izako Boars,Vitality,14,16,Mirage
Team2,Izako Boars,Winstrike,16,5,Nuke
Team2,Izako Boars,Winstrike,16,7,Vertigo
Team2,Izako Boars,ad hoc,16,2,Train
Team2,Izako Boars,ex-Fragsters,16,3,Train
Team2,Izako Boars,forZe,20,22,Inferno
Team2,Izako Boars,x-kom,11,16,Nuke
Team2,Izako Boars,x-kom,16,8,Mirage
