Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Jaguar,FULL SEND,7,16,Dust2
Team1,Jaguar,FULL SEND,8,16,Mirage
Team1,Jaguar,FULL SEND,8,16,Train
Team1,Jaguar,FULL SEND,9,16,Mirage
Team1,Jaguar,In a Hurry,16,6,Dust2
Team1,Jaguar,Infinity,8,16,Mirage
Team1,Jaguar,Kadmus7,16,1,Mirage
Team1,Jaguar,Kadmus7,16,1,Overpass
Team1,Jaguar,Niknexus,16,10,Cache
Team1,Jaguar,Niknexus,16,14,Train
Team1,Jaguar,Niknexus,25,22,Overpass
Team1,Jaguar,Niknexus,8,16,Mirage
Team1,Jaguar,Shot,16,8,Train
Team2,Jaguar,Artyk,16,8,Train
Team2,Jaguar,Black Label Society,16,2,Dust2
Team2,Jaguar,In a Hurry,16,2,Train
Team2,Jaguar,NONAME,16,7,Inferno
Team2,Jaguar,Niknexus,16,2,Inferno
Team2,Jaguar,Nova Dragons,16,5,Mirage
Team2,Jaguar,Shot,16,9,Mirage
