Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Juggernauts,ARCY,16,11,Train
Team1,Juggernauts,ARCY,16,8,Nuke
Team1,Juggernauts,ARMADA,16,10,Inferno
Team1,Juggernauts,Copenhagen Flames,6,16,Inferno
Team1,Juggernauts,DreamEaters,16,11,Dust2
Team1,Juggernauts,DreamEaters,16,6,Nuke
Team1,Juggernauts,Ekaterinburg,19,17,Overpass
Team1,Juggernauts,FATE,12,16,Train
Team1,Juggernauts,FATE,3,16,Vertigo
Team1,Juggernauts,Invictus,12,16,Nuke
Team1,Juggernauts,KOVA,10,16,Mirage
Team1,Juggernauts,KiM Kardashians,16,1,Inferno
Team1,Juggernauts,MiTH.Maple,16,12,Train
Team1,Juggernauts,Nemiga,11,16,Vertigo
Team1,Juggernauts,Nemiga,16,14,Nuke
Team1,Juggernauts,Nemiga,16,4,Mirage
Team1,Juggernauts,OutLawZ,16,12,Inferno
Team1,Juggernauts,OutLawZ,16,14,Nuke
Team1,Juggernauts,Salamander,14,16,Nuke
Team1,Juggernauts,Spirit,11,16,Mirage
Team1,Juggernauts,Unique,19,15,Nuke
Team1,Juggernauts,pro100,5,16,Train
Team2,Juggernauts,Copenhagen Flames,12,16,Vertigo
Team2,Juggernauts,Ekaterinburg,16,5,Inferno
Team2,Juggernauts,Ekaterinburg,17,19,Nuke
Team2,Juggernauts,Invictus,16,8,Mirage
Team2,Juggernauts,KOVA,11,16,Overpass
Team2,Juggernauts,MiTH.Maple,16,5,Mirage
Team2,Juggernauts,Nemiga,19,22,Inferno
Team2,Juggernauts,OutLawZ,16,5,Mirage
Team2,Juggernauts,Salamander,16,7,Mirage
Team2,Juggernauts,Spirit,14,16,Dust2
Team2,Juggernauts,Spirit,16,9,Train
Team2,Juggernauts,Unique,13,16,Dust2
Team2,Juggernauts,ad hoc,16,6,Nuke
