Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Justice,AVANT,1,16,Mirage
Team1,Justice,AVANT,9,16,Nuke
Team1,Justice,Athletico,16,12,Dust2
Team1,Justice,Chiefs,3,16,Overpass
Team1,Justice,ORDER,3,16,Inferno
Team1,Justice,ORDER,4,16,Vertigo
Team1,Justice,ORDER,5,16,Overpass
Team1,Justice,Paradox,8,16,Mirage
Team1,Justice,Rooster,9,16,Overpass
Team1,Justice,Skyfire,6,16,Mirage
Team1,Justice,evicted,16,10,Overpass
Team1,Justice,madlikewizards,8,16,Mirage
Team2,Justice,Genuine,12,16,Vertigo
Team2,Justice,PC419,16,2,Train
Team2,Justice,SYF,10,16,Overpass
Team2,Justice,madlikewizards,13,16,Overpass
