Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,KOVA,Apeks,11,16,Vertigo
Team1,KOVA,Apeks,16,14,Nuke
Team1,KOVA,Bpro,11,16,Train
Team1,KOVA,Bpro,16,6,Train
Team1,KOVA,Conquer,16,9,Nuke
Team1,KOVA,Cosa Nostra,16,11,Nuke
Team1,KOVA,HAVU,14,16,Inferno
Team1,KOVA,HAVU,16,13,Vertigo
Team1,KOVA,HAVU,6,16,Nuke
Team1,KOVA,HAVU,9,16,Overpass
Team1,KOVA,Japaleno,16,14,Dust2
Team1,KOVA,LDLC,16,12,Nuke
Team1,KOVA,Nemiga,3,16,Inferno
Team1,KOVA,Nemiga,8,16,Dust2
Team1,KOVA,North,16,14,Vertigo
Team1,KOVA,SJ,12,16,Vertigo
Team1,KOVA,SJ,4,16,Train
Team1,KOVA,SJ,8,16,Train
Team1,KOVA,SKADE,16,13,Train
Team1,KOVA,Secret,12,16,Nuke
Team1,KOVA,Secret,4,16,Train
Team1,KOVA,Veto,16,11,Mirage
Team1,KOVA,Veto,16,12,Nuke
Team1,KOVA,hREDS,12,16,Nuke
Team1,KOVA,hREDS,16,12,Mirage
Team1,KOVA,hREDS,16,14,Train
Team1,KOVA,hREDS,16,5,Inferno
Team1,KOVA,hREDS,19,22,Dust2
Team1,KOVA,hREDS,3,16,Dust2
Team1,KOVA,hREDS,5,16,Train
Team2,KOVA,Apeks,12,16,Mirage
Team2,KOVA,Apeks,16,9,Mirage
Team2,KOVA,Bpro,16,3,Dust2
Team2,KOVA,Conquer,16,5,Mirage
Team2,KOVA,Endpoint,12,16,Vertigo
Team2,KOVA,Espada,10,16,Overpass
Team2,KOVA,LDLC,15,19,Dust2
Team2,KOVA,LDLC,16,5,Vertigo
Team2,KOVA,SJ,11,16,Vertigo
Team2,KOVA,Veto,12,16,Dust2
Team2,KOVA,hREDS,14,16,Nuke
Team2,KOVA,hREDS,16,5,Overpass
