Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Lucid Dream,5POWER,16,11,Train
Team1,Lucid Dream,5POWER,5,16,Train
Team1,Lucid Dream,5orgless,16,10,Dust2
Team1,Lucid Dream,A Point,16,1,Mirage
Team1,Lucid Dream,Absolute,16,1,Mirage
Team1,Lucid Dream,Alpha Red,10,16,Overpass
Team1,Lucid Dream,Alpha Red,11,16,Vertigo
Team1,Lucid Dream,Alpha Red,16,10,Inferno
Team1,Lucid Dream,Alpha Red,16,11,Inferno
Team1,Lucid Dream,Alpha Red,16,11,Mirage
Team1,Lucid Dream,Alpha Red,16,13,Mirage
Team1,Lucid Dream,Alpha Red,16,9,Inferno
Team1,Lucid Dream,Alpha Red,22,19,Inferno
Team1,Lucid Dream,Alpha Red,8,16,Overpass
Team1,Lucid Dream,Astro,16,7,Vertigo
Team1,Lucid Dream,BOOT,16,6,Nuke
Team1,Lucid Dream,BOOT-d S ,13,16,Mirage
Team1,Lucid Dream,BOOT-d S ,16,11,Mirage
Team1,Lucid Dream,BTRG,12,16,Train
Team1,Lucid Dream,BTRG,16,12,Dust2
Team1,Lucid Dream,BTRG,16,13,Train
Team1,Lucid Dream,Beyond,16,11,Dust2
Team1,Lucid Dream,Beyond,16,12,Inferno
Team1,Lucid Dream,Beyond,16,13,Dust2
Team1,Lucid Dream,Beyond,16,6,Nuke
Team1,Lucid Dream,Beyond,16,9,Nuke
Team1,Lucid Dream,Beyond,16,9,Overpass
Team1,Lucid Dream,Beyond,22,19,Mirage
Team1,Lucid Dream,D13,16,9,Nuke
Team1,Lucid Dream,Darkhorse,16,14,Dust2
Team1,Lucid Dream,Entity,16,3,Nuke
Team1,Lucid Dream,FirstTime,16,6,Inferno
Team1,Lucid Dream,HZ,14,16,Train
Team1,Lucid Dream,HZ,16,14,Dust2
Team1,Lucid Dream,HZ,16,14,Inferno
Team1,Lucid Dream,Impunity,16,14,Mirage
Team1,Lucid Dream,Invictus,14,16,Mirage
Team1,Lucid Dream,Invictus,16,10,Nuke
Team1,Lucid Dream,JigadooD,16,10,Inferno
Team1,Lucid Dream,Liquid,7,16,Dust2
Team1,Lucid Dream,MVP PK,2,16,Train
Team1,Lucid Dream,Maple,16,10,Nuke
Team1,Lucid Dream,Maple,16,11,Train
Team1,Lucid Dream,Maple,19,16,Dust2
Team1,Lucid Dream,Maple,7,16,Inferno
Team1,Lucid Dream,NASR,16,9,Nuke
Team1,Lucid Dream,NASR,8,16,Overpass
Team1,Lucid Dream,Paper Rex,16,13,Nuke
Team1,Lucid Dream,Power Ace,16,4,Nuke
Team1,Lucid Dream,Revolution,16,12,Mirage
Team1,Lucid Dream,TIGER,11,16,Overpass
Team1,Lucid Dream,TIGER,16,12,Train
