Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Lyngby Vikings,AGF,16,12,Inferno
Team1,Lyngby Vikings,AGF,5,16,Nuke
Team1,Lyngby Vikings,ALTERNATE aTTaX,6,16,Train
Team1,Lyngby Vikings,BLUEJAYS,13,16,Train
Team1,Lyngby Vikings,Bpro,9,16,Overpass
Team1,Lyngby Vikings,FASTLOSE,5,16,Vertigo
Team1,Lyngby Vikings,FASTLOSE,7,16,Dust2
Team1,Lyngby Vikings,Giants,4,16,Nuke
Team1,Lyngby Vikings,ImmuNe ,16,13,Inferno
Team1,Lyngby Vikings,ImmuNe ,16,14,Nuke
Team1,Lyngby Vikings,Izako Boars,16,14,Train
Team1,Lyngby Vikings,Izako Boars,16,3,Vertigo
Team1,Lyngby Vikings,N1ceTry,22,20,Train
Team1,Lyngby Vikings,Nordavind,12,16,Vertigo
Team1,Lyngby Vikings,OrgSeekers,16,13,Nuke
Team1,Lyngby Vikings,SJ,16,14,Inferno
Team1,Lyngby Vikings,SJ,8,16,Nuke
Team1,Lyngby Vikings,SJ,9,16,Train
Team1,Lyngby Vikings,Secret,16,11,Nuke
Team1,Lyngby Vikings,Tricked,14,16,Mirage
Team1,Lyngby Vikings,Unicorns of Love,13,16,Nuke
Team1,Lyngby Vikings,Unicorns of Love,19,16,Overpass
Team1,Lyngby Vikings,eXtatus,16,13,Nuke
Team1,Lyngby Vikings,egern,16,10,Nuke
Team1,Lyngby Vikings,pro100,3,16,Dust2
Team2,Lyngby Vikings,ALTERNATE aTTaX,12,16,Vertigo
Team2,Lyngby Vikings,ALTERNATE aTTaX,16,6,Mirage
Team2,Lyngby Vikings,ALTERNATE aTTaX,17,19,Inferno
Team2,Lyngby Vikings,ALTERNATE aTTaX,18,22,Train
Team2,Lyngby Vikings,Apeks,11,16,Nuke
Team2,Lyngby Vikings,BLUEJAYS,16,3,Nuke
Team2,Lyngby Vikings,Bpro,14,16,Inferno
Team2,Lyngby Vikings,DETONA,16,8,Inferno
Team2,Lyngby Vikings,Denzaaaa,13,16,Train
Team2,Lyngby Vikings,GAMERZONE,13,16,Inferno
Team2,Lyngby Vikings,Gambit Youngsters,16,8,Train
Team2,Lyngby Vikings,N1ceTry,12,16,Vertigo
Team2,Lyngby Vikings,N1ceTry,20,22,Overpass
Team2,Lyngby Vikings,Nordavind,16,8,Inferno
Team2,Lyngby Vikings,OrgSeekers,13,16,Train
Team2,Lyngby Vikings,OrgSeekers,16,6,Overpass
Team2,Lyngby Vikings,Secret,20,22,Inferno
Team2,Lyngby Vikings,Sigma,16,19,Inferno
Team2,Lyngby Vikings,hREDS,16,4,Inferno
