Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Lynn Vision,5POWER,14,16,Inferno
Team1,Lynn Vision,5POWER,8,16,Overpass
Team1,Lynn Vision,8EASY,10,16,Dust2
Team1,Lynn Vision,8EASY,16,10,Overpass
Team1,Lynn Vision,8EASY,4,16,Train
Team1,Lynn Vision,Avengers,3,16,Dust2
Team1,Lynn Vision,Avengers,7,16,Mirage
Team1,Lynn Vision,BTRG,16,6,Mirage
Team1,Lynn Vision,EHOME,14,16,Overpass
Team1,Lynn Vision,EHOME,14,16,Overpass
Team1,Lynn Vision,EHOME,7,16,Nuke
Team1,Lynn Vision,In Young Ren,16,11,Dust2
Team1,Lynn Vision,Invictus,13,16,Dust2
Team1,Lynn Vision,Invictus,16,14,Mirage
Team1,Lynn Vision,JiJieHao,16,7,Inferno
Team1,Lynn Vision,OneThree,14,16,Inferno
Team1,Lynn Vision,OneThree,16,10,Mirage
Team1,Lynn Vision,OneThree,16,14,Nuke
Team1,Lynn Vision,OneThree,5,16,Nuke
Team1,Lynn Vision,R-Stars,16,10,Inferno
Team1,Lynn Vision,R-Stars,16,14,Dust2
Team1,Lynn Vision,TYLOO,16,10,Dust2
Team1,Lynn Vision,TYLOO,16,8,Inferno
Team2,Lynn Vision,BTRG,16,3,Inferno
Team2,Lynn Vision,Invictus,10,16,Train
Team2,Lynn Vision,Invictus,12,16,Nuke
Team2,Lynn Vision,JiJieHao,33,37,Mirage
Team2,Lynn Vision,Macau Legend,16,3,Inferno
Team2,Lynn Vision,OneThree,12,16,Dust2
Team2,Lynn Vision,OneThree,13,16,Dust2
Team2,Lynn Vision,R-Stars,11,16,Inferno
Team2,Lynn Vision,R-Stars,16,8,Mirage
Team2,Lynn Vision,TYLOO,14,16,Overpass
Team2,Lynn Vision,Vital Spark,13,16,Dust2
Team2,Lynn Vision,Vital Spark,13,16,Nuke
Team2,Lynn Vision,Vital Spark,16,5,Inferno
Team2,Lynn Vision,ahq,16,6,Inferno
