Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,MASSIVEimpact,Bad News Bears,19,17,Train
Team1,MASSIVEimpact,Bad News Bears,6,16,Mirage
Team1,MASSIVEimpact,FURIA,6,16,Overpass
Team1,MASSIVEimpact,Forty Six and 2,16,0,Cache
Team1,MASSIVEimpact,Grizzlys,16,14,Overpass
Team1,MASSIVEimpact,Grizzlys,16,8,Inferno
Team1,MASSIVEimpact,Infamous,16,11,Overpass
Team1,MASSIVEimpact,Infamous,16,8,Mirage
Team1,MASSIVEimpact,Mythic,16,10,Dust2
Team1,MASSIVEimpact,Offbeat,16,4,Inferno
Team1,MASSIVEimpact,Old Guys Club,16,0,Train
Team1,MASSIVEimpact,Party Astronauts,4,16,Overpass
Team1,MASSIVEimpact,Party Astronauts,5,16,Nuke
Team1,MASSIVEimpact,Singularity,8,16,Cache
Team1,MASSIVEimpact,Spacestation,16,14,Overpass
Team1,MASSIVEimpact,Spacestation,22,18,Overpass
Team1,MASSIVEimpact,Stay Frosty,16,10,Mirage
Team1,MASSIVEimpact,TeamOne,16,13,Inferno
Team2,MASSIVEimpact,Final Feature,16,8,Inferno
Team2,MASSIVEimpact,Singularity,16,19,Inferno
Team2,MASSIVEimpact,Spacestation,10,16,Train
Team2,MASSIVEimpact,The Fundamentals,11,16,Overpass
