Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,MC,AVANT,16,11,Dust2
Team1,MC,Airborne,16,12,Inferno
Team1,MC,Corvidae,16,2,Vertigo
Team1,MC,DINQ,16,10,Inferno
Team1,MC,Eimi Fukada FC,10,16,Nuke
Team1,MC,Eimi Fukada FC,5,16,Dust2
Team1,MC,Ground Zero,14,16,Nuke
Team1,MC,Jade,10,16,Dust2
Team1,MC,Jade,19,16,Inferno
Team1,MC,Jade,8,16,Inferno
Team1,MC,PC419,16,6,Overpass
Team1,MC,Paradox,16,13,Dust2
Team1,MC,SYF,9,16,Mirage
Team1,MC,SYF,9,16,Overpass
Team1,MC,ZOOWEEMAMA,16,12,Dust2
Team1,MC,ZOOWEEMAMA,16,12,Dust2
Team1,MC,catman,16,14,Inferno
Team1,MC,ex-Genuine,16,14,Overpass
Team1,MC,ex-Genuine,7,16,Inferno
Team2,MC,Chiefs,11,16,Nuke
Team2,MC,Corvidae,16,7,Mirage
Team2,MC,Downfall,16,5,Train
Team2,MC,Fanta,16,19,Mirage
Team2,MC,Genuine,11,16,Dust2
Team2,MC,Grayhound,13,16,Mirage
Team2,MC,Incept,16,7,Dust2
Team2,MC,PC419,16,8,Nuke
Team2,MC,Paradox,16,7,Inferno
Team2,MC,Rooster,16,7,Mirage
Team2,MC,Skyfire,14,16,Mirage
Team2,MC,catman,10,16,Dust2
Team2,MC,ex-Athletico,14,16,Mirage
Team2,MC,madlikewizards,16,5,Dust2
Team2,MC,rewound,12,16,Train
