Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Malvinas,9z,12,16,Dust2
Team1,Malvinas,9z,16,12,Inferno
Team1,Malvinas,Agressive,16,4,Overpass
Team1,Malvinas,Furious,16,11,Dust2
Team1,Malvinas,Hawks,16,10,Mirage
Team1,Malvinas,Hawks,16,14,Overpass
Team1,Malvinas,Los gurises,16,1,Dust2
Team1,Malvinas,Reapers,16,13,Mirage
Team1,Malvinas,Sinisters,16,13,Dust2
Team1,Malvinas,Sinisters,16,14,Overpass
Team2,Malvinas,9z,16,7,Overpass
Team2,Malvinas,Agressive,10,16,Mirage
Team2,Malvinas,Furious,12,16,Mirage
Team2,Malvinas,Furious,13,16,Overpass
Team2,Malvinas,Furious,16,8,Mirage
Team2,Malvinas,Reapers,14,16,Dust2
Team2,Malvinas,Reapers,14,16,Overpass
Team2,Malvinas,Santos,11,16,Dust2
Team2,Malvinas,Santos,17,19,Nuke
Team2,Malvinas,Sinisters,11,16,Overpass
Team2,Malvinas,Sinisters,12,16,Dust2
Team2,Malvinas,Sinisters,13,16,Vertigo
Team2,Malvinas,Sinisters,14,16,Overpass
Team2,Malvinas,Sinisters,16,4,Mirage
