Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Mythic,Ascent,4,16,Inferno
Team1,Mythic,BLITZKRIEG,9,16,Train
Team1,Mythic,Chaos,16,7,Mirage
Team1,Mythic,Chaos,9,16,Inferno
Team1,Mythic,Faint,16,14,Mirage
Team1,Mythic,Final Feature,11,16,Dust2
Team1,Mythic,Glizzy Gang,16,1,Vertigo
Team1,Mythic,LiViD,16,11,Overpass
Team1,Mythic,LiViD,16,12,Inferno
Team1,Mythic,LiViD,19,17,Mirage
Team1,Mythic,LiViD,7,16,Train
Team1,Mythic,Lowkey,16,5,Dust2
Team1,Mythic,Monstars,28,25,Inferno
Team1,Mythic,Monstars,3,16,Mirage
Team1,Mythic,NRG,3,16,Dust2
Team1,Mythic,NRG,5,16,Train
Team1,Mythic,Prospects,16,14,Inferno
Team1,Mythic,Rap Gang,16,11,Train
Team1,Mythic,Rugratz,3,16,Vertigo
Team1,Mythic,Rugratz,7,16,Inferno
Team1,Mythic,Sharks,6,16,Nuke
Team1,Mythic,Sharks,9,16,Dust2
Team1,Mythic,Singularity,16,12,Overpass
Team1,Mythic,Singularity,5,16,Inferno
Team1,Mythic,Spacestation,6,16,Cache
Team1,Mythic,The Fundamentals,19,15,Inferno
Team1,Mythic,Thunder Logic,16,13,Dust2
Team1,Mythic,Triumph,16,14,Mirage
Team1,Mythic,Under 21,12,16,Dust2
Team1,Mythic,Under 21,16,11,Vertigo
Team1,Mythic,Variance,16,11,Train
Team1,Mythic,Zone,16,13,Train
Team1,Mythic,Zone,9,16,Mirage
Team1,Mythic,absolute mad lads,16,14,Nuke
Team1,Mythic,absolute mad lads,16,8,Mirage
Team1,Mythic,eUnited,16,14,Mirage
Team1,Mythic,eUnited,4,16,Inferno
Team1,Mythic,iNTACT,16,13,Train
Team2,Mythic,Bad News Bears,12,16,Overpass
Team2,Mythic,Bad News Bears,14,16,Dust2
Team2,Mythic,Big Frames,16,7,Mirage
Team2,Mythic,Big Frames,16,8,Overpass
Team2,Mythic,Big Frames,22,25,Vertigo
Team2,Mythic,Buffdaddy's Paypal,16,7,Mirage
Team2,Mythic,Bushido Boyz,16,7,Overpass
Team2,Mythic,Chaos,12,16,Dust2
Team2,Mythic,District 7,11,16,Mirage
Team2,Mythic,Final Feature,14,16,Nuke
Team2,Mythic,Forty Six and 2,16,9,Inferno
Team2,Mythic,Infamous,16,7,Inferno
Team2,Mythic,Infinity,16,9,Dust2
Team2,Mythic,Infinity,16,9,Overpass
Team2,Mythic,Just Swing,16,6,Inferno
Team2,Mythic,Keep the Comms Up,16,6,Overpass
Team2,Mythic,Lowkey,1,16,Mirage
Team2,Mythic,Polar Ace,17,19,Mirage
Team2,Mythic,Riot Squad,10,16,Train
Team2,Mythic,Singularity,11,16,Mirage
Team2,Mythic,TeamOne,16,3,Dust2
Team2,Mythic,TeamOne,16,4,Overpass
Team2,Mythic,TeamOne,16,9,Cache
Team2,Mythic,Triumph,12,16,Inferno
Team2,Mythic,Under 21,14,16,Mirage
Team2,Mythic,Yeah,14,16,Train
Team2,Mythic,Yeah,17,19,Mirage
Team2,Mythic,Zone,16,4,Dust2
Team2,Mythic,heX,16,3,Mirage
