Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,NiP,Apeks,16,5,Inferno
Team1,NiP,Astralis,1,16,Inferno
Team1,NiP,Astralis,9,16,Train
Team1,NiP,BIG,16,1,Train
Team1,NiP,BIG,16,10,Inferno
Team1,NiP,BIG,16,11,Vertigo
Team1,NiP,BIG,16,3,Nuke
Team1,NiP,BIG,19,16,Nuke
Team1,NiP,Cloud9,16,9,Vertigo
Team1,NiP,Complexity,16,11,Vertigo
Team1,NiP,Dignitas,16,4,Vertigo
Team1,NiP,ENCE,16,4,Overpass
Team1,NiP,ENCE,17,19,Overpass
Team1,NiP,ENCE,22,19,Train
Team1,NiP,ENCE,7,16,Nuke
Team1,NiP,ENCE,8,16,Dust2
Team1,NiP,Evil Geniuses,14,16,Nuke
Team1,NiP,Evil Geniuses,16,11,Train
Team1,NiP,Evil Geniuses,9,16,Dust2
Team1,NiP,FURIA,16,13,Train
Team1,NiP,FURIA,16,5,Nuke
Team1,NiP,FaZe,3,16,Dust2
Team1,NiP,G2,16,13,Inferno
Team1,NiP,GODSENT,16,14,Nuke
Team1,NiP,GODSENT,16,4,Overpass
Team1,NiP,Giants,4,16,Nuke
Team1,NiP,Grayhound,16,14,Mirage
Team1,NiP,Grayhound,16,8,Overpass
Team1,NiP,Heretics,16,11,Dust2
Team1,NiP,Heretics,16,3,Overpass
Team1,NiP,Heretics,16,6,Overpass
Team1,NiP,Heretics,16,8,Overpass
Team1,NiP,Heroic,12,16,Nuke
Team1,NiP,Heroic,16,10,Inferno
Team1,NiP,Heroic,16,11,Nuke
Team1,NiP,Heroic,17,19,Train
Team1,NiP,Heroic,7,16,Vertigo
Team1,NiP,Liquid,16,11,Mirage
Team1,NiP,MIBR,12,16,Mirage
Team1,NiP,MIBR,16,12,Vertigo
Team1,NiP,MIBR,9,16,Train
Team1,NiP,MIBR,9,16,Train
Team1,NiP,NRG,16,14,Nuke
Team1,NiP,Natus Vincere,13,16,Inferno
Team1,NiP,Natus Vincere,8,16,Overpass
Team1,NiP,Natus Vincere,9,16,Mirage
Team1,NiP,North,16,12,Mirage
Team1,NiP,North,16,14,Nuke
Team1,NiP,North,4,16,Dust2
Team1,NiP,North,5,16,Nuke
Team1,NiP,North,8,16,Train
Team1,NiP,Spirit,16,12,Inferno
Team1,NiP,Spirit,16,14,Mirage
Team1,NiP,Spirit,16,5,Vertigo
Team1,NiP,Spirit,16,7,Dust2
Team1,NiP,Spirit,16,7,Overpass
Team1,NiP,Sprout,16,13,Mirage
Team1,NiP,Sprout,4,16,Nuke
Team1,NiP,Sprout,6,16,Train
Team1,NiP,Turkey5,16,2,Nuke
Team1,NiP,Vega Squadron,16,13,Mirage
Team1,NiP,ViCi,16,10,Mirage
Team1,NiP,ViCi,16,13,Overpass
Team1,NiP,ViCi,16,13,Train
Team1,NiP,Virtus.pro,14,16,Nuke
Team1,NiP,Virtus.pro,9,16,Mirage
Team1,NiP,Vitality,19,15,Overpass
Team1,NiP,Vitality,8,16,Overpass
Team1,NiP,Windigo,16,7,Nuke
Team1,NiP,adwokacik,16,3,Overpass
Team1,NiP,adwokacik,19,16,Train
Team1,NiP,devils.one,16,10,Overpass
Team1,NiP,eUnited,16,13,Nuke
Team1,NiP,fnatic,16,10,Mirage
Team1,NiP,fnatic,16,12,Inferno
Team1,NiP,fnatic,25,23,Overpass
Team1,NiP,fnatic,5,16,Train
Team1,NiP,fnatic,9,16,Cache
Team1,NiP,fnatic,9,16,Overpass
Team1,NiP,forZe,16,10,Dust2
Team1,NiP,mousesports,16,13,Nuke
Team1,NiP,mousesports,16,7,Inferno
Team2,NiP,Apeks,12,16,Overpass
Team2,NiP,Astralis,11,16,Inferno
Team2,NiP,Astralis,12,16,Nuke
Team2,NiP,Astralis,16,7,Overpass
Team2,NiP,CR4ZY,10,16,Train
Team2,NiP,Cloud9,16,2,Overpass
Team2,NiP,Cloud9,16,6,Overpass
Team2,NiP,Complexity,14,16,Mirage
Team2,NiP,Dignitas,16,9,Train
Team2,NiP,ENCE,10,16,Train
Team2,NiP,ENCE,16,5,Nuke
Team2,NiP,Evil Geniuses,11,16,Inferno
Team2,NiP,Evil Geniuses,12,16,Inferno
Team2,NiP,Evil Geniuses,14,16,Nuke
Team2,NiP,Evil Geniuses,16,4,Dust2
Team2,NiP,FaZe,16,19,Train
Team2,NiP,FaZe,16,7,Mirage
Team2,NiP,G2,11,16,Dust2
Team2,NiP,HellRaisers,16,5,Overpass
Team2,NiP,Heretics,10,16,Nuke
Team2,NiP,Heretics,14,16,Inferno
Team2,NiP,Heretics,14,16,Nuke
Team2,NiP,Heroic,16,5,Overpass
Team2,NiP,MIBR,16,7,Inferno
Team2,NiP,MIBR,16,9,Inferno
Team2,NiP,NRG,11,16,Train
Team2,NiP,Natus Vincere,12,16,Inferno
Team2,NiP,Natus Vincere,16,9,Dust2
Team2,NiP,Natus Vincere,16,9,Nuke
Team2,NiP,North,12,16,Train
Team2,NiP,North,19,22,Overpass
Team2,NiP,OpTic,10,16,Dust2
Team2,NiP,OpTic,12,16,Nuke
Team2,NiP,Spirit,12,16,Mirage
Team2,NiP,Sprout,20,22,Mirage
Team2,NiP,Turkey5,16,2,Dust2
Team2,NiP,Vitality,16,19,Mirage
Team2,NiP,Vitality,16,4,Inferno
Team2,NiP,Vitality,16,7,Cache
Team2,NiP,Windigo,14,16,Overpass
Team2,NiP,devils.one,13,16,Mirage
Team2,NiP,fnatic,14,16,Mirage
Team2,NiP,forZe,15,15,Inferno
Team2,NiP,forZe,16,9,Train
